OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5302	575577	Rokytno	1	1	364	364	"""SPOLEČNĚ"""	"""SPOLEČNĚ"", SZ, NK"		2	005,080	1415	35.48	5
5302	575577	Rokytno	1	2	166	166	STAROSTOVÉ A NEZÁVISLÍ	STAROSTOVÉ A NEZÁVISLÍ	STAN	1	166	2244	48.77	8
5302	575577	Rokytno	1	3	902	90	Společně a lépe Rokytno, Bohumileč, Drahoš, Zástava	Společně a lépe - SNK	SNK	1	080	421	15.25	1
5302	575577	Rokytno	1	4	901	90	Sdružení nezávislých kandidátů - Drahoš	SNK Drahoš	SNK	1	080	521	33.97	1
