OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
4203	565121	Liběšice	1	1	902	90	ProLiPo - Pro Liběšicko pohodovější	Pro Liběšicko pohodovější	SNK	1	080			
4203	565121	Liběšice	1	2	901	90	Nezávislí kandidáti Liběšicka	Nezávislí kandidáti Liběšicka	SNK	1	080			
4203	565121	Liběšice	1	3	768	768	ANO 2011	ANO 2011	ANO	1	768			
