OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5301	572551	Vysočina	1	1	1479	1479	Hasiči Rváčov s podporou 3PK	Hasiči Rváčov s podporou 3PK	SproK+NK	2	080,1228			
5301	572551	Vysočina	1	2	901	90	SBOR DOBROVOLNÝCH HASIČŮ MOŽDĚNICE	SDH MOŽDĚNICE	SNK	1	080			
5301	572551	Vysočina	1	3	902	90	SBOR DOBROVOLNÝCH HASIČŮ SVOBODNÉ HAMRY	SDH SVOBODNÉ HAMRY	SNK	1	080			
5301	572551	Vysočina	1	4	903	90	SBOR DOBROVOLNÝCH HASIČŮ DŘEVÍKOV	SDH DŘEVÍKOV	SNK	1	080			
