OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
2102	531669	Otročiněves	1	1	902	90	SDRUŽENÍ PRO OTROČINĚVES	SDRUŽENÍ PRO OTROČINĚVES	SNK	1	080			
2102	531669	Otročiněves	1	2	901	90	Společně pro obec	Společně pro obec	SNK	1	080			
