OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
6103	547999	Humpolec	1	1	166	166	STAROSTOVÉ A NEZÁVISLÍ	STAROSTOVÉ A NEZÁVISLÍ	STAN	1	166			
6103	547999	Humpolec	1	2	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047			
6103	547999	Humpolec	1	3	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007			
6103	547999	Humpolec	1	4	532	532	ANO 2011 s podporou nezávislých	ANO 2011 s podporou nez.	ANO+NK	2	080,768			
6103	547999	Humpolec	1	5	1	1	KDU-ČSL	KDU-ČSL	KDU-ČSL	1	001			
6103	547999	Humpolec	1	6	720	720	Česká pirátská strana	Česká pirátská strana	Piráti	1	720			
6103	547999	Humpolec	1	7	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053			
6103	547999	Humpolec	1	8	901	90	Sdružení nezávislých kandidátů ◄HUMPOLECGO!►pro volební období 2022–2026	SNK◄HUMPOLECGO!►	SNK	1	080			
6103	547999	Humpolec	1	9	779	779	Starostové pro občany	Starostové pro občany	STO	1	779			
