OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5205	579432	Lánov	1	2	901	90	Sdružení nezávislých kandidátů - Naše obec, náš domov	SNK - Naše obec, náš domov	SNK-CELK	1	080	3944	88.11	14
5205	579441	Lanžov	1	1	901	90	"Sdružení nezávislých kandidátů ""ZA ZMĚNU"""	"Sdruž.nezáv.kand.""ZA ZMĚNU"""	SNK-CELK	1	080	306	43.22	3
5205	579441	Lanžov	1	2	902	90	"Sdružení nezávislých kandidátů ""Nezávislé Lanžovsko"""	"SNK ""Nezávislé Lanžovsko"""	SNK-CELK	1	080	402	56.77	4
5205	579475	Libňatov	1	1	809	80	Ivo Teichman, nezávislý kandidát	Ivo Teichman, NK	NK	1	080	127	78.55	1
5205	579475	Libňatov	1	2	803	80	Jindřiška Chobotská, nezávislý kandidát	Jindřiška Chobotská, NK	NK	1	080	66	40.82	0
5205	579475	Libňatov	1	3	810	80	Josef Teichman, nezávislý kandidát	Josef Teichman, NK	NK	1	080	106	65.56	1
5205	579475	Libňatov	1	4	812	80	Zdeněk Vít, nezávislý kandidát	Zdeněk Vít, NK	NK	1	080	91	56.28	0
5205	579475	Libňatov	1	5	801	80	Roman Antoš, nezávislý kandidát	Roman Antoš, NK	NK	1	080	116	71.75	1
5205	579475	Libňatov	1	6	807	80	Marie Pichová, nezávislý kandidát	Marie Pichová, NK	NK	1	080	121	74.84	1
5205	579475	Libňatov	1	7	813	80	Jana Zelinková, nezávislý kandidát	Jana Zelinková, NK	NK	1	080	109	67.42	1
5205	579475	Libňatov	1	8	802	80	Jan Balcar, nezávislý kandidát	Jan Balcar, NK	NK	1	080	152	94.02	1
5205	579475	Libňatov	1	9	808	80	Jaromír Šévl, nezávislý kandidát	Jaromír Šévl, NK	NK	1	080	95	58.76	0
5205	579475	Libňatov	1	10	804	80	Milena Jindrová, nezávislý kandidát	Milena Jindrová, NK	NK	1	080	135	83.5	1
5205	579475	Libňatov	1	11	811	80	Jaroslav Tomeš, nezávislý kandidát	Jaroslav Tomeš, NK	NK	1	080	127	78.55	1
5205	579475	Libňatov	1	12	805	80	Dana Králíková, nezávislý kandidát	Dana Králíková, NK	NK	1	080	82	50.72	0
5205	579475	Libňatov	1	13	806	80	Jaroslav Pich, nezávislý kandidát	Jaroslav Pich, NK	NK	1	080	128	79.17	1
5205	579483	Libotov	1	1	901	90	Sdružení nezávislých kandidátů - Za Libotov	SNK - Za Libotov	SNK-CELK	1	080	334	100	7
5205	579505	Malá Úpa	1	1	801	80	Libor Bureš, nezávislý kandidát	Libor Bureš, NK	NK	1	080	0	0	0
5205	579505	Malá Úpa	1	2	904	90	"Sdružení nezávislých kandidátů - "" Za jednotnou Malou Úpu"""	""" Za jednotnou Malou Úpu"""	SNK-CELK	1	080	118	19.3	1
5205	579505	Malá Úpa	1	3	902	90	"Sdružení nezávislých kandidátů - ""Za zachování rozvoje obce"""	"""Za zachování  rozvoje obce"""	SNK-CELK	1	080	263	36.88	3
5205	579505	Malá Úpa	1	4	903	90	Sdružení nezávislých kandidátů - Pro Malou Úpu	Pro Malou Úpu	SNK-CELK	1	080	152	21.31	1
5205	579505	Malá Úpa	1	5	901	90	Sdružení nezávislých kandidátů - Budoucnost	Budoucnost	SNK-CELK	1	080	180	25.24	2
5205	579513	Malé Svatoňovice	1	1	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	1239	12.71	2
5205	579513	Malé Svatoňovice	1	2	901	90	Sdružení nezávislých kandidátů	Sdruž.nezáv.kand.	SNK-CELK	1	080	5675	58.24	9
5205	579513	Malé Svatoňovice	1	3	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	1088	11.16	1
5205	579513	Malé Svatoňovice	1	4	902	90	Sdružení nezávislých kandidátů - SHČMS	Sdruž.nezáv.kand.-SHČMS	SNK-CELK	1	080	1741	17.86	3
5205	579530	Maršov u Úpice	1	1	801	80	Zdeněk Bernard, Nezávislí kandidáti -	Zdeněk Bernard, NK	NK	1	080	72	109.64	1
5205	579530	Maršov u Úpice	1	2	802	80	Karel Jansa, nezávislý kandidát	Karel Jansa, NK	NK	1	080	68	103.55	1
5205	579530	Maršov u Úpice	1	3	803	80	Petr Marel, nezávislý kandidát	Petr Marel, NK	NK	1	080	42	63.95	1
5205	579530	Maršov u Úpice	1	4	804	80	Jiří Bejr, nezávislý kandidát	Jiří Bejr, NK	NK	1	080	57	86.8	1
5205	579530	Maršov u Úpice	1	5	805	80	Jiří Vach, nezávislý kandidát	Jiří Vach, NK	NK	1	080	57	86.8	1
5205	579530	Maršov u Úpice	1	6	806	80	Jiří Řezníček, nezávislý kandidát	Jiří Řezníček, NK	NK	1	080	79	120.3	1
5205	579530	Maršov u Úpice	1	7	807	80	Luboš Matěna, nezávislý kandidát	Luboš Matěna, NK	NK	1	080	43	65.48	1
5205	579530	Maršov u Úpice	1	8	808	80	Josef Kadaník, nezávislý kandidát	Josef Kadaník, NK	NK	1	080	57	86.8	1
5205	579530	Maršov u Úpice	1	9	809	80	Jana Vítová, nezávislý kandidát	Jana Vítová, NK	NK	1	080	41	62.43	1
5205	579530	Maršov u Úpice	1	10	810	80	Luděk Vítek, nezávislý kandidát	Luděk Vítek, NK	NK	1	080	36	54.82	0
5205	579530	Maršov u Úpice	1	11	811	80	Hana Bečvářová, nezávislý kandidát	Hana Bečvářová, NK	NK	1	080	39	59.39	0
5205	579548	Mladé Buky	1	1	181	181	Nestraníci	Nestraníci	Nestran.	1	181	2811	23.71	4
5205	579548	Mladé Buky	1	2	902	90	Sdružení nezávislých kandidátů	Sdruž.nezáv.kand.	SNK-CELK	1	080	3030	25.56	4
5205	579548	Mladé Buky	1	3	98	98	Pravý Blok-strana za ODVOLAT.politiků, NÍZKÉ daně, MIN.byrokracie, SPRAV.justici, REFER.a PŘÍMOU demokr. WWW.CIBULKA.NET	Pravý Blok	PB	1	098	514	4.33	0
5205	579548	Mladé Buky	1	4	1	1	Křesťanská a demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	1448	12.21	2
5205	579548	Mladé Buky	1	5	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	1786	15.06	2
5205	579548	Mladé Buky	1	6	901	90	Občanské sdružení pro Mladé Buky	Občanské sdruž.pro Ml.Buky	SNK-CELK	1	080	2264	19.1	3
5205	579556	Mostek	1	1	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	1561	28.18	3
5205	579556	Mostek	1	2	901	90	Sdružení nezávislých kandidátů - Za Mostek Lepší	SNK- Za Mostek lepší	SNK-CELK	1	080	2956	53.36	6
5205	579556	Mostek	1	3	1	1	Křesťanská a demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	1022	18.45	2
5205	579564	Nemojov	1	1	901	90	"Sdružení nezávislých kandidátů ""Sdružení nezávislých  kandidátů"""	"SNK - ""Sdruž. nezáv. kand."""	SNK-CELK	1	080	1287	100	7
5205	579581	Pec pod Sněžkou	1	1	902	90	Sdružení nezávislých kandidátů - Občanské sdružení lanová dráha Pec-Sněžka	SNK-Ob. sdruž. lan. dr. Pec-Sn	SNK-CELK	1	080	1061	36.84	3
5205	579581	Pec pod Sněžkou	1	2	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	444	15.41	1
5205	579581	Pec pod Sněžkou	1	3	901	90	Sdružení nezávislých kandidátů - SNĚŽKA	SNK - SNĚŽKA	SNK-CELK	1	080	1375	47.74	5
5205	579599	Pilníkov	1	1	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	1103	24.8	2
5205	579599	Pilníkov	1	2	901	90	Sdružení nezávislých kandidátů - Pro Pilníkov	SNK- Pro Pilníkov	SNK-CELK	1	080	3031	68.15	7
5205	579599	Pilníkov	1	3	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	313	12.66	0
5205	579602	Prosečné	1	1	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	974	46.2	4
5205	579602	Prosečné	1	2	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	1134	53.79	5
5205	579629	Radvanice	1	1	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	193	10.44	0
5205	579629	Radvanice	1	2	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	439	14.85	1
5205	579629	Radvanice	1	3	901	90	"""JISTOTA - SDRUŽENÍ NAZÁVISLÝCH KANDIDÁTŮ"""	"""JISTOTA - SNK"""	SNK-CELK	1	080	1543	46.4	5
5205	579629	Radvanice	1	4	902	90	Sbor dobrovolných hasičů Radvanice	Sbor dobrov. hasičů  Radvanice	SNK-CELK	1	080	386	11.6	1
5205	579629	Radvanice	1	5	903	90	Za lidi a pro lidi	Za lidi a pro lidi	SNK-CELK	1	080	764	22.97	2
5205	579637	Rtyně v Podkrkonoší	1	1	1	1	Křesťanská a demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	3808	20.27	3
