OKRES	TYPZASTUP	DRUHZASTUP	KODZASTUP	NAZEVZAST	OBVODY	COBVODU	MANDATY	POCOBYV	key
5304	1	1	547905	Rybník	0	1	9	812	rybnik
5304	1	1	547921	Trpík	0	1	7	90	trpik
5304	1	1	547964	Sobkovice	0	1	5	237	sobkovice
5304	1	1	547972	Hrádek	0	1	5	108	hradek
5304	1	1	547981	Albrechtice	0	1	7	432	albrechtice
5304	1	1	548006	Bošín	0	1	7	102	bosin
5304	1	1	548014	Dlouhá Třebová	0	1	15	1329	dlouha-trebova
5304	1	1	548022	Vračovice-Orlov	0	1	5	164	vracovice-orlov
5304	1	1	548031	Dlouhoňovice	0	1	7	831	dlouhonovice
5304	1	1	548049	Helvíkovice	0	1	7	521	helvikovice
5304	1	1	553760	Běstovice	0	1	7	431	bestovice
5304	1	1	555240	Semanín	0	1	7	617	semanin
5304	1	1	571695	Leština	0	1	9	330	lestina
5304	1	1	571920	Nové Hrady	0	1	9	296	nove-hrady
5304	1	1	572209	Řepníky	0	1	7	385	repniky
5304	1	1	572306	Stradouň	0	1	7	181	stradoun
5304	1	1	572489	Vinary	0	1	5	136	vinary
5304	1	1	573426	Anenská Studánka	0	1	5	170	anenska-studanka
5304	1	1	574392	Sázava	0	1	9	562	sazava
5304	1	1	574449	Kosořín	0	1	6	185	kosorin
5304	1	1	575542	Radhošť	0	1	5	160	radhost
5304	1	1	575861	Týnišťko	0	1	7	163	tynistko
5304	1	2	579891	Ústí nad Orlicí	0	1	27	13936	usti-nad-orlici
5304	1	2	579947	Brandýs nad Orlicí	0	1	9	1295	brandys-nad-orlici
5304	1	1	579963	Bučina	0	1	7	265	bucina
5304	1	1	579971	Bystřec	0	1	15	1140	bystrec
5304	1	1	579980	Cotkytle	0	1	9	401	cotkytle
5304	1	1	579998	Čenkovice	0	1	7	187	cenkovice
5304	1	1	580015	Červená Voda	0	1	15	2927	cervena-voda
5304	1	1	580023	Česká Rybná	0	1	9	369	ceska-rybna
5304	1	2	580031	Česká Třebová	0	1	27	15062	ceska-trebova
5304	1	6	580040	České Heřmanice	0	1	7	607	ceske-hermanice
5304	1	1	580058	České Libchavy	0	1	9	644	ceske-libchavy
5304	1	1	580066	České Petrovice	0	1	7	158	ceske-petrovice
5304	1	1	580074	Damníkov	0	1	9	674	damnikov
5304	1	1	580091	Dobříkov	0	1	7	554	dobrikov
5304	1	6	580112	Dolní Čermná	0	1	15	1356	dolni-cermna
5304	1	1	580121	Dolní Dobrouč	0	1	15	2570	dolni-dobrouc
5304	1	1	580147	Libchavy	0	1	15	1757	libchavy
5304	1	1	580163	Dolní Morava	0	1	7	407	dolni-morava
5304	1	1	580210	Džbánov	0	1	7	362	dzbanov
5304	1	1	580228	Hejnice	0	1	7	211	hejnice
5304	1	1	580261	Hnátnice	0	1	11	809	hnatnice
5304	1	1	580279	Horní Čermná	0	1	15	996	horni-cermna
5304	1	1	580295	Horní Heřmanice	0	1	7	449	horni-hermanice
5304	1	1	580333	Horní Třešňovec	0	1	9	622	horni-tresnovec
5304	1	1	580341	Hrušová	0	1	7	393	hrusova
5304	1	2	580350	Choceň	0	1	21	8477	chocen
5304	1	2	580376	Jablonné nad Orlicí	0	1	15	2904	jablonne-nad-orlici
5304	1	1	580392	Jamné nad Orlicí	0	1	9	691	jamne-nad-orlici
5304	1	1	580406	Javorník	0	1	7	245	javornik
5304	1	1	580414	Jehnědí	0	1	7	329	jehnedi
5304	1	1	580422	Kameničná	0	1	7	332	kamenicna
5304	1	1	580431	Klášterec nad Orlicí	0	1	9	892	klasterec-nad-orlici
5304	1	1	580465	Koldín	0	1	7	379	koldin
5304	1	2	580481	Králíky	0	1	15	4002	kraliky
5304	1	1	580490	Krasíkov	0	1	7	297	krasikov
5304	1	6	580503	Kunvald	0	1	11	917	kunvald
5304	1	2	580511	Lanškroun	0	1	21	9326	lanskroun
5304	1	2	580538	Letohrad	0	1	21	6377	letohrad
5304	1	1	580562	Libecina	0	1	7	189	libecina
5304	1	1	580571	Lichkov	0	1	9	508	lichkov
5304	1	1	580589	Líšnice	0	1	11	764	lisnice
5304	1	1	580619	Lubník	0	1	7	369	lubnik
5304	1	1	580627	Lukavice	0	1	11	1165	lukavice
5304	1	1	580635	Luková	0	1	9	761	lukova
5304	1	1	580643	Mistrovice	0	1	11	613	mistrovice
5304	1	6	580651	Mladkov	0	1	9	532	mladkov
5304	1	1	580660	Mostek	0	1	7	262	mostek
5304	1	1	580678	Nasavrky	0	1	5	139	nasavrky
5304	1	1	580686	Nekoř	0	1	9	954	nekor
5304	1	1	580708	Svatý Jiří	0	1	7	288	svaty-jiri
5304	1	1	580716	Orlické Podhůří	0	1	9	690	orlicke-podhuri
