label	okres	value
Praha hl.m.	Praha	praha/praha-hlm
Brno	Brno-město	brno-mesto/brno
Ostrava	Ostrava-město	ostrava-mesto/ostrava
Plzeň	Plzeň-město	plzen-mesto/plzen
Praha 4	Praha	praha/praha-4
Ostrava-Jih	Ostrava-město	ostrava-mesto/ostrava-jih
Praha 10	Praha	praha/praha-10
Liberec	Liberec	liberec/liberec
Praha 8	Praha	praha/praha-8
Olomouc	Olomouc	olomouc/olomouc
Praha 6	Praha	praha/praha-6
Ústí nad Labem	Ústí nad Labem	usti-nad-labem/usti-nad-labem
České Budějovice	České Budějovice	ceske-budejovice/ceske-budejovice
Hradec Králové	Hradec Králové	hradec-kralove/hradec-kralove
Pardubice	Pardubice	pardubice/pardubice
Brno-střed	Brno-město	brno-mesto/brno-stred
Praha 5	Praha	praha/praha-5
Praha 11	Praha	praha/praha-11
Havířov	Karviná	karvina/havirov
Zlín	Zlín	zlin/zlin
Praha 3	Praha	praha/praha-3
Kladno	Kladno	kladno/kladno
Poruba	Ostrava-město	ostrava-mesto/poruba
Most	Most	most/most
Praha 13	Praha	praha/praha-13
Opava	Opava	opava/opava
Frýdek-Místek	Frýdek-Místek	frydek-mistek/frydek-mistek
Karviná	Karviná	karvina/karvina
Praha 12	Praha	praha/praha-12
Praha 9	Praha	praha/praha-9
Jihlava	Jihlava	jihlava/jihlava
Děčín	Děčín	decin/decin
Teplice	Teplice	teplice/teplice
Karlovy Vary	Karlovy Vary	karlovy-vary/karlovy-vary
Chomutov	Chomutov	chomutov/chomutov
Plzeň 1	Plzeň-město	plzen-mesto/plzen-1
Praha 2	Praha	praha/praha-2
Brno-sever	Brno-město	brno-mesto/brno-sever
Plzeň 3	Plzeň-město	plzen-mesto/plzen-3
Jablonec nad Nisou	Jablonec nad Nisou	jablonec-nad-nisou/jablonec-nad-nisou
Praha 14	Praha	praha/praha-14
Přerov	Přerov	prerov/prerov
Mladá Boleslav	Mladá Boleslav	mlada-boleslav/mlada-boleslav
Prostějov	Prostějov	prostejov/prostejov
Praha 7	Praha	praha/praha-7
Moravská Ostrava a Přívoz	Ostrava-město	ostrava-mesto/moravska-ostrava-a-privoz
Třebíč	Třebíč	trebic/trebic
Česká Lípa	Česká Lípa	ceska-lipa/ceska-lipa
Ústí nad Labem-město	Ústí nad Labem	usti-nad-labem/usti-nad-labem-mesto
Třinec	Frýdek-Místek	frydek-mistek/trinec
Tábor	Tábor	tabor/tabor
Znojmo	Znojmo	znojmo/znojmo
Příbram	Příbram	pribram/pribram
Plzeň 2-Slovany	Plzeň-město	plzen-mesto/plzen-2-slovany
Cheb	Cheb	cheb/cheb
Praha 15	Praha	praha/praha-15
Kolín	Kolín	kolin/kolin
Trutnov	Trutnov	trutnov/trutnov
Orlová	Karviná	karvina/orlova
Písek	Písek	pisek/pisek
Praha 1	Praha	praha/praha-1
Kroměříž	Kroměříž	kromeriz/kromeriz
Šumperk	Šumperk	sumperk/sumperk
Vsetín	Vsetín	vsetin/vsetin
Brno-Líšeň	Brno-město	brno-mesto/brno-lisen
Brno-Královo Pole	Brno-město	brno-mesto/brno-kralovo-pole
Ústí nad Labem-Neštěmice	Ústí nad Labem	usti-nad-labem/usti-nad-labem-nestemice
Uherské Hradiště	Uherské Hradiště	uherske-hradiste/uherske-hradiste
Litvínov	Most	most/litvinov
