OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
2105	534633	Zruč nad Sázavou	1	1	901	90	Sdružení nezávislých kandidátů ve Zruči nad Sázavou	SNK ve Zruči nad Sázavou	SNK	1	080			
2105	534633	Zruč nad Sázavou	1	2	902	90	PRO Zruč	PRO Zruč	SNK	1	080			
2105	534633	Zruč nad Sázavou	1	3	1305	1305	SPD a nezávislí kandidáti	SPD a nezávislí kandidáti	SPD+NK	2	080,1114			
2105	534633	Zruč nad Sázavou	1	4	903	90	ZA ZRUČ VESELEJŠÍ	ZA ZRUČ VESELEJŠÍ	SNK	1	080			
2105	534633	Zruč nad Sázavou	1	5	470	470	SPOLEČNĚ PRO ZRUČ	SPOLEČNĚ PRO ZRUČ	STAN+NK	2	080,166			
