OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
3107	552704	Mladá Vožice	1	1	129	129	SNK Evropští demokraté	SNK Evropští demokraté	SNK ED	1	129	3240	21.83	3
3107	552704	Mladá Vožice	1	2	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	2122	14.3	2
3107	552704	Mladá Vožice	1	3	1	1	Křesťanská a demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	1346	9.07	1
3107	552704	Mladá Vožice	1	4	901	90	"Sdružení nezávislých kandidátů - ""Nezávislí 2006"""	"Sdr.nez.kand.-""Nezávislí 2006"""	SNK-2006	1	080	5792	39.03	7
3107	552704	Mladá Vožice	1	5	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	2339	15.76	2
