label	okres	value
Uherské Hradiště	Uherské Hradiště	uherske-hradiste/uherske-hradiste
Hodonín	Hodonín	hodonin/hodonin
Praha 17	Praha	praha/praha-17
Český Těšín	Karviná	karvina/cesky-tesin
Krnov	Bruntál	bruntal/krnov
Ústí nad Labem-Neštěmice	Ústí nad Labem	usti-nad-labem/usti-nad-labem-nestemice
Havlíčkův Brod	Havlíčkův Brod	havlickuv-brod/havlickuv-brod
Sokolov	Sokolov	sokolov/sokolov
Břeclav	Břeclav	breclav/breclav
Plzeň 4	Plzeň-město	plzen-mesto/plzen-4
Litoměřice	Litoměřice	litomerice/litomerice
Brno-Bystrc	Brno-město	brno-mesto/brno-bystrc
Chrudim	Chrudim	chrudim/chrudim
Žďár nad Sázavou	Žďár nad Sázavou	zdar-nad-sazavou/zdar-nad-sazavou
Strakonice	Strakonice	strakonice/strakonice
Kopřivnice	Nový Jičín	novy-jicin/koprivnice
Bohumín	Karviná	karvina/bohumin
Klatovy	Klatovy	klatovy/klatovy
Jindřichův Hradec	Jindřichův Hradec	jindrichuv-hradec/jindrichuv-hradec
Vyškov	Vyškov	vyskov/vyskov
Kutná Hora	Kutná Hora	kutna-hora/kutna-hora
Brno-Židenice	Brno-město	brno-mesto/brno-zidenice
Blansko	Blansko	blansko/blansko
Pardubice I	Pardubice	pardubice/pardubice-i
Brno-Žabovřesky	Brno-město	brno-mesto/brno-zabovresky
Jirkov	Chomutov	chomutov/jirkov
Náchod	Náchod	nachod/nachod
Slezská Ostrava	Ostrava-město	ostrava-mesto/slezska-ostrava
Ústí nad Labem-Severní Terasa	Ústí nad Labem	usti-nad-labem/usti-nad-labem-severni-terasa
Žatec	Louny	louny/zatec
Mělník	Mělník	melnik/melnik
Hranice	Přerov	prerov/hranice
Pardubice II	Pardubice	pardubice/pardubice-ii
Louny	Louny	louny/louny
Beroun	Beroun	beroun/beroun
Otrokovice	Zlín	zlin/otrokovice
Kadaň	Chomutov	chomutov/kadan
Kralupy nad Vltavou	Mělník	melnik/kralupy-nad-vltavou
Bruntál	Bruntál	bruntal/bruntal
Ostrov	Karlovy Vary	karlovy-vary/ostrov
Brandýs nad Labem-Stará Boleslav	Praha-východ	praha-vychod/brandys-nad-labem-stara-boleslav
Uherský Brod	Uherské Hradiště	uherske-hradiste/uhersky-brod
Svitavy	Svitavy	svitavy/svitavy
Praha 18	Praha	praha/praha-18
Rožnov pod Radhoštěm	Vsetín	vsetin/roznov-pod-radhostem
Pelhřimov	Pelhřimov	pelhrimov/pelhrimov
Jičín	Jičín	jicin/jicin
Rakovník	Rakovník	rakovnik/rakovnik
Neratovice	Mělník	melnik/neratovice
Benešov	Benešov	benesov/benesov
Česká Třebová	Ústí nad Orlicí	usti-nad-orlici/ceska-trebova
Pardubice V	Pardubice	pardubice/pardubice-v
Dvůr Králové nad Labem	Trutnov	trutnov/dvur-kralove-nad-labem
Bílina	Teplice	teplice/bilina
Varnsdorf	Děčín	decin/varnsdorf
Pardubice III	Pardubice	pardubice/pardubice-iii
Klášterec nad Ohří	Chomutov	chomutov/klasterec-nad-ohri
Brno-Řečkovice a Mokrá Hora	Brno-město	brno-mesto/brno-reckovice-a-mokra-hora
Slaný	Kladno	kladno/slany
Praha 20	Praha	praha/praha-20
Brno-Bohunice	Brno-město	brno-mesto/brno-bohunice
Nymburk	Nymburk	nymburk/nymburk
Ústí nad Orlicí	Ústí nad Orlicí	usti-nad-orlici/usti-nad-orlici
Turnov	Semily	semily/turnov
Hlučín	Opava	opava/hlucin
Chodov	Sokolov	sokolov/chodov
Rokycany	Rokycany	rokycany/rokycany
Zábřeh	Šumperk	sumperk/zabreh
Krupka	Teplice	teplice/krupka
Brno-Vinohrady	Brno-město	brno-mesto/brno-vinohrady
Poděbrady	Nymburk	nymburk/podebrady
Šternberk	Olomouc	olomouc/sternberk
Mariánské Lázně	Cheb	cheb/marianske-lazne
Ústí nad Labem-Střekov	Ústí nad Labem	usti-nad-labem/usti-nad-labem-strekov
Český Krumlov	Český Krumlov	cesky-krumlov/cesky-krumlov
Říčany	Praha-východ	praha-vychod/ricany
Brno-Starý Lískovec	Brno-město	brno-mesto/brno-stary-liskovec
Aš	Cheb	cheb/as
Roudnice nad Labem	Litoměřice	litomerice/roudnice-nad-labem
Brno-Kohoutovice	Brno-město	brno-mesto/brno-kohoutovice
Jaroměř	Náchod	nachod/jaromer
Vrchlabí	Trutnov	trutnov/vrchlabi
Mariánské Hory a Hulváky	Ostrava-město	ostrava-mesto/marianske-hory-a-hulvaky
Vysoké Mýto	Ústí nad Orlicí	usti-nad-orlici/vysoke-myto
Tachov	Tachov	tachov/tachov
Holešov	Kroměříž	kromeriz/holesov
Nový Bor	Česká Lípa	ceska-lipa/novy-bor
Jeseník	Jeseník	jesenik/jesenik
Vlašim	Benešov	benesov/vlasim
Uničov	Olomouc	olomouc/unicov
Velké Meziříčí	Žďár nad Sázavou	zdar-nad-sazavou/velke-mezirici
Veselí nad Moravou	Hodonín	hodonin/veseli-nad-moravou
Kyjov	Hodonín	hodonin/kyjov
Prachatice	Prachatice	prachatice/prachatice
Čelákovice	Praha-východ	praha-vychod/celakovice
Rychnov nad Kněžnou	Rychnov nad Kněžnou	rychnov-nad-kneznou/rychnov-nad-kneznou
Sušice	Klatovy	klatovy/susice
Rumburk	Děčín	decin/rumburk
Brno-Nový Lískovec	Brno-město	brno-mesto/brno-novy-liskovec
Frenštát pod Radhoštěm	Nový Jičín	novy-jicin/frenstat-pod-radhostem
Humpolec	Pelhřimov	pelhrimov/humpolec
Domažlice	Domažlice	domazlice/domazlice
Boskovice	Blansko	blansko/boskovice
Moravská Třebová	Svitavy	svitavy/moravska-trebova
Kuřim	Brno-venkov	brno-venkov/kurim
Nové Město na Moravě	Žďár nad Sázavou	zdar-nad-sazavou/nove-mesto-na-morave
Litomyšl	Svitavy	svitavy/litomysl
Hlinsko	Chrudim	chrudim/hlinsko
Lanškroun	Ústí nad Orlicí	usti-nad-orlici/lanskroun
Studénka	Nový Jičín	novy-jicin/studenka
Čáslav	Kutná Hora	kutna-hora/caslav
Praha-Libuš	Praha	praha/praha-libus
Litovel	Olomouc	olomouc/litovel
Nové Město nad Metují	Náchod	nachod/nove-mesto-nad-metuji
Chotěboř	Havlíčkův Brod	havlickuv-brod/chotebor
Frýdlant nad Ostravicí	Frýdek-Místek	frydek-mistek/frydlant-nad-ostravici
Mohelnice	Šumperk	sumperk/mohelnice
Praha-Čakovice	Praha	praha/praha-cakovice
Praha 21	Praha	praha/praha-21
Brno-jih	Brno-město	brno-mesto/brno-jih
Praha-Zbraslav	Praha	praha/praha-zbraslav
Nová Paka	Jičín	jicin/nova-paka
Ivančice	Brno-venkov	brno-venkov/ivancice
Štětí	Litoměřice	litomerice/steti
Milovice	Nymburk	nymburk/milovice
Brno-Slatina	Brno-město	brno-mesto/brno-slatina
Milevsko	Písek	pisek/milevsko
Hořice	Jičín	jicin/horice
Choceň	Ústí nad Orlicí	usti-nad-orlici/chocen
Duchcov	Teplice	teplice/duchcov
Polička	Svitavy	svitavy/policka
Lovosice	Litoměřice	litomerice/lovosice
Semily	Semily	semily/semily
Přelouč	Pardubice	pardubice/prelouc
Příbor	Nový Jičín	novy-jicin/pribor
Rýmařov	Bruntál	bruntal/rymarov
Třeboň	Jindřichův Hradec	jindrichuv-hradec/trebon
Bystřice nad Pernštejnem	Žďár nad Sázavou	zdar-nad-sazavou/bystrice-nad-pernstejnem
Bystřice pod Hostýnem	Kroměříž	kromeriz/bystrice-pod-hostynem
Tišnov	Brno-venkov	brno-venkov/tisnov
Červený Kostelec	Náchod	nachod/cerveny-kostelec
Lysá nad Labem	Nymburk	nymburk/lysa-nad-labem
Mnichovo Hradiště	Mladá Boleslav	mlada-boleslav/mnichovo-hradiste
Dobříš	Příbram	pribram/dobris
Praha-Kunratice	Praha	praha/praha-kunratice
Týn nad Vltavou	České Budějovice	ceske-budejovice/tyn-nad-vltavou
Nejdek	Karlovy Vary	karlovy-vary/nejdek
Praha 16	Praha	praha/praha-16
Lipník nad Bečvou	Přerov	prerov/lipnik-nad-becvou
Dubí	Teplice	teplice/dubi
Stříbro	Tachov	tachov/stribro
Broumov	Náchod	nachod/broumov
Moravské Budějovice	Třebíč	trebic/moravske-budejovice
Vimperk	Prachatice	prachatice/vimperk
Dačice	Jindřichův Hradec	jindrichuv-hradec/dacice
Brno-Černovice	Brno-město	brno-mesto/brno-cernovice
Praha 22	Praha	praha/praha-22
Vratislavice nad Nisou	Liberec	liberec/vratislavice-nad-nisou
Sedlčany	Příbram	pribram/sedlcany
Hrádek nad Nisou	Liberec	liberec/hradek-nad-nisou
Frýdlant	Liberec	liberec/frydlant
Bílovec	Nový Jičín	novy-jicin/bilovec
Roztoky	Praha-západ	praha-zapad/roztoky
Napajedla	Zlín	zlin/napajedla
Mikulov	Břeclav	breclav/mikulov
Vítkovice	Ostrava-město	ostrava-mesto/vitkovice
Odry	Nový Jičín	novy-jicin/odry
Benátky nad Jizerou	Mladá Boleslav	mlada-boleslav/benatky-nad-jizerou
Kaplice	Český Krumlov	cesky-krumlov/kaplice
Sezimovo Ústí	Tábor	tabor/sezimovo-usti
Soběslav	Tábor	tabor/sobeslav
Hostivice	Praha-západ	praha-zapad/hostivice
Hulín	Kroměříž	kromeriz/hulin
Brno-Komín	Brno-město	brno-mesto/brno-komin
Nový Bydžov	Hradec Králové	hradec-kralove/novy-bydzov
Vodňany	Strakonice	strakonice/vodnany
Kraslice	Sokolov	sokolov/kraslice
Nýřany	Plzeň-sever	plzen-sever/nyrany
Přeštice	Plzeň-jih	plzen-jih/prestice
Petřvald	Karviná	karvina/petrvald
Rychvald	Karviná	karvina/rychvald
Šlapanice	Brno-venkov	brno-venkov/slapanice
Tanvald	Jablonec nad Nisou	jablonec-nad-nisou/tanvald
Letovice	Blansko	blansko/letovice
Dobruška	Rychnov nad Kněžnou	rychnov-nad-kneznou/dobruska
Světlá nad Sázavou	Havlíčkův Brod	havlickuv-brod/svetla-nad-sazavou
Vratimov	Ostrava-město	ostrava-mesto/vratimov
Slavičín	Zlín	zlin/slavicin
Český Brod	Kolín	kolin/cesky-brod
Staré Město	Uherské Hradiště	uherske-hradiste/stare-mesto
Kravaře	Opava	opava/kravare
Králův Dvůr	Beroun	beroun/kraluv-dvur
Mimoň	Česká Lípa	ceska-lipa/mimon
Blatná	Strakonice	strakonice/blatna
Hořovice	Beroun	beroun/horovice
Veselí nad Lužnicí	Tábor	tabor/veseli-nad-luznici
Železný Brod	Jablonec nad Nisou	jablonec-nad-nisou/zelezny-brod
Dubňany	Hodonín	hodonin/dubnany
Radvanice a Bartovice	Ostrava-město	ostrava-mesto/radvanice-a-bartovice
Holice	Pardubice	pardubice/holice
Praha-Suchdol	Praha	praha/praha-suchdol
Kojetín	Přerov	prerov/kojetin
Bučovice	Vyškov	vyskov/bucovice
Praha 19	Praha	praha/praha-19
Podbořany	Louny	louny/podborany
Týniště nad Orlicí	Rychnov nad Kněžnou	rychnov-nad-kneznou/tyniste-nad-orlici
Letohrad	Ústí nad Orlicí	usti-nad-orlici/letohrad
Jesenice	Praha-západ	praha-zapad/jesenice
Kostelec nad Orlicí	Rychnov nad Kněžnou	rychnov-nad-kneznou/kostelec-nad-orlici
Hronov	Náchod	nachod/hronov
Slavkov u Brna	Vyškov	vyskov/slavkov-u-brna
Praha-Petrovice	Praha	praha/praha-petrovice
Černošice	Praha-západ	praha-zapad/cernosice
Dobřany	Plzeň-jih	plzen-jih/dobrany
Vítkov	Opava	opava/vitkov
Chrastava	Liberec	liberec/chrastava
Žamberk	Ústí nad Orlicí	usti-nad-orlici/zamberk
Moravský Krumlov	Znojmo	znojmo/moravsky-krumlov
Hustopeče	Břeclav	breclav/hustopece
Úpice	Trutnov	trutnov/upice
Fulnek	Nový Jičín	novy-jicin/fulnek
Třešť	Jihlava	jihlava/trest
Pardubice VII	Pardubice	pardubice/pardubice-vii
Úvaly	Praha-východ	praha-vychod/uvaly
Brumov-Bylnice	Zlín	zlin/brumov-bylnice
Lomnice nad Popelkou	Semily	semily/lomnice-nad-popelkou
Třebechovice pod Orebem	Hradec Králové	hradec-kralove/trebechovice-pod-orebem
Stochov	Kladno	kladno/stochov
Šenov	Ostrava-město	ostrava-mesto/senov
Strážnice	Hodonín	hodonin/straznice
Vrbno pod Pradědem	Bruntál	bruntal/vrbno-pod-pradedem
Telč	Jihlava	jihlava/telc
Ledeč nad Sázavou	Havlíčkův Brod	havlickuv-brod/ledec-nad-sazavou
Jilemnice	Semily	semily/jilemnice
Šluknov	Děčín	decin/sluknov
Jablunkov	Frýdek-Místek	frydek-mistek/jablunkov
Horní Slavkov	Sokolov	sokolov/horni-slavkov
Horažďovice	Klatovy	klatovy/horazdovice
Františkovy Lázně	Cheb	cheb/frantiskovy-lazne
Planá	Tachov	tachov/plana
Zubří	Vsetín	vsetin/zubri
Česká Kamenice	Děčín	decin/ceska-kamenice
Rosice	Brno-venkov	brno-venkov/rosice
Kunovice	Uherské Hradiště	uherske-hradiste/kunovice
Odolena Voda	Praha-východ	praha-vychod/odolena-voda
Bechyně	Tábor	tabor/bechyne
Týnec nad Sázavou	Benešov	benesov/tynec-nad-sazavou
Petrovice u Karviné	Karviná	karvina/petrovice-u-karvine
Brno-Tuřany	Brno-město	brno-mesto/brno-turany
Hradec nad Moravicí	Opava	opava/hradec-nad-moravici
Chlumec nad Cidlinou	Hradec Králové	hradec-kralove/chlumec-nad-cidlinou
Luhačovice	Zlín	zlin/luhacovice
Česká Skalice	Náchod	nachod/ceska-skalice
Rousínov	Vyškov	vyskov/rousinov
Skuteč	Chrudim	chrudim/skutec
Brno-Maloměřice a Obřany	Brno-město	brno-mesto/brno-malomerice-a-obrany
Pardubice VI	Pardubice	pardubice/pardubice-vi
Jílové	Děčín	decin/jilove
Bystřice	Frýdek-Místek	frydek-mistek/bystrice
Polná	Jihlava	jihlava/polna
Habartov	Sokolov	sokolov/habartov
Kdyně	Domažlice	domazlice/kdyne
Nové Strašecí	Rakovník	rakovnik/nove-straseci
Valašské Klobouky	Zlín	zlin/valasske-klobouky
Nýrsko	Klatovy	klatovy/nyrsko
Doksy	Česká Lípa	ceska-lipa/doksy
Postoloprty	Louny	louny/postoloprty
Brno-Medlánky	Brno-město	brno-mesto/brno-medlanky
Chropyně	Kroměříž	kromeriz/chropyne
Náměšť nad Oslavou	Třebíč	trebic/namest-nad-oslavou
Kynšperk nad Ohří	Sokolov	sokolov/kynsperk-nad-ohri
Osek	Teplice	teplice/osek
Pacov	Pelhřimov	pelhrimov/pacov
Bělá pod Bezdězem	Mladá Boleslav	mlada-boleslav/bela-pod-bezdezem
Velká Bíteš	Žďár nad Sázavou	zdar-nad-sazavou/velka-bites
Dolní Lutyně	Karviná	karvina/dolni-lutyne
Heřmanův Městec	Chrudim	chrudim/hermanuv-mestec
Protivín	Písek	pisek/protivin
Zruč nad Sázavou	Kutná Hora	kutna-hora/zruc-nad-sazavou
Trhové Sviny	České Budějovice	ceske-budejovice/trhove-sviny
Bakov nad Jizerou	Mladá Boleslav	mlada-boleslav/bakov-nad-jizerou
Holýšov	Domažlice	domazlice/holysov
Horšovský Týn	Domažlice	domazlice/horsovsky-tyn
Hluboká nad Vltavou	České Budějovice	ceske-budejovice/hluboka-nad-vltavou
Pardubice IV	Pardubice	pardubice/pardubice-iv
Třemošná	Plzeň-sever	plzen-sever/tremosna
Meziboří	Most	most/mezibori
Hostinné	Trutnov	trutnov/hostinne
Polanka nad Odrou	Ostrava-město	ostrava-mesto/polanka-nad-odrou
Ludgeřovice	Opava	opava/ludgerovice
Vamberk	Rychnov nad Kněžnou	rychnov-nad-kneznou/vamberk
Adamov	Blansko	blansko/adamov
Vizovice	Zlín	zlin/vizovice
Bojkovice	Uherské Hradiště	uherske-hradiste/bojkovice
Oslavany	Brno-venkov	brno-venkov/oslavany
Králíky	Ústí nad Orlicí	usti-nad-orlici/kraliky
Votice	Benešov	benesov/votice
Pohořelice	Brno-venkov	brno-venkov/pohorelice
Vracov	Hodonín	hodonin/vracov
Horní Suchá	Karviná	karvina/horni-sucha
Kosmonosy	Mladá Boleslav	mlada-boleslav/kosmonosy
Pečky	Kolín	kolin/pecky
Cvikov	Česká Lípa	ceska-lipa/cvikov
Uherský Ostroh	Uherské Hradiště	uherske-hradiste/uhersky-ostroh
Rudná	Praha-západ	praha-zapad/rudna
Horní Bříza	Plzeň-sever	plzen-sever/horni-briza
Starý Plzenec	Plzeň-město	plzen-mesto/stary-plzenec
Hluk	Uherské Hradiště	uherske-hradiste/hluk
Praha-Zličín	Praha	praha/praha-zlicin
Mníšek pod Brdy	Praha-západ	praha-zapad/mnisek-pod-brdy
Chlumec	Ústí nad Labem	usti-nad-labem/chlumec
Jemnice	Třebíč	trebic/jemnice
Modřice	Brno-venkov	brno-venkov/modrice
Svinov	Ostrava-město	ostrava-mesto/svinov
Hlubočky	Olomouc	olomouc/hlubocky
Bor	Tachov	tachov/bor
Bolatice	Opava	opava/bolatice
Rožmitál pod Třemšínem	Příbram	pribram/rozmital-pod-tremsinem
Bzenec	Hodonín	hodonin/bzenec
Police nad Metují	Náchod	nachod/police-nad-metuji
Jaroměřice nad Rokytnou	Třebíč	trebic/jaromerice-nad-rokytnou
Bystřice	Benešov	benesov/bystrice
Těrlicko	Karviná	karvina/terlicko
Stráž pod Ralskem	Česká Lípa	ceska-lipa/straz-pod-ralskem
Dolní Benešov	Opava	opava/dolni-benesov
Větřní	Český Krumlov	cesky-krumlov/vetrni
Vendryně	Frýdek-Místek	frydek-mistek/vendryne
Zlaté Hory	Jeseník	jesenik/zlate-hory
Lišov	České Budějovice	ceske-budejovice/lisov
Nová Role	Karlovy Vary	karlovy-vary/nova-role
Jílové u Prahy	Praha-západ	praha-zapad/jilove-u-prahy
Slatiňany	Chrudim	chrudim/slatinany
Klimkovice	Ostrava-město	ostrava-mesto/klimkovice
Blovice	Plzeň-jih	plzen-jih/blovice
Velké Opatovice	Blansko	blansko/velke-opatovice
Jiříkov	Děčín	decin/jirikov
Ratíškovice	Hodonín	hodonin/ratiskovice
Kamenice nad Lipou	Pelhřimov	pelhrimov/kamenice-nad-lipou
Velešín	Český Krumlov	cesky-krumlov/velesin
Volary	Prachatice	prachatice/volary
Kamenický Šenov	Česká Lípa	ceska-lipa/kamenicky-senov
Zdice	Beroun	beroun/zdice
Benešov nad Ploučnicí	Děčín	decin/benesov-nad-ploucnici
Albrechtice	Karviná	karvina/albrechtice
Dětmarovice	Karviná	karvina/detmarovice
Borovany	České Budějovice	ceske-budejovice/borovany
Přibyslav	Havlíčkův Brod	havlickuv-brod/pribyslav
Paskov	Frýdek-Místek	frydek-mistek/paskov
Zbýšov	Brno-venkov	brno-venkov/zbysov
Mosty u Jablunkova	Frýdek-Místek	frydek-mistek/mosty-u-jablunkova
Brno-Jundrov	Brno-město	brno-mesto/brno-jundrov
Nové Město pod Smrkem	Liberec	liberec/nove-mesto-pod-smrkem
Návsí	Frýdek-Místek	frydek-mistek/navsi
Toužim	Karlovy Vary	karlovy-vary/touzim
Velké Bílovice	Břeclav	breclav/velke-bilovice
Lom	Most	most/lom
Kamenice	Praha-východ	praha-vychod/kamenice
Unhošť	Kladno	kladno/unhost
Jablonné v Podještědí	Liberec	liberec/jablonne-v-podjestedi
Sázava	Benešov	benesov/sazava
Nepomuk	Plzeň-jih	plzen-jih/nepomuk
Brušperk	Frýdek-Místek	frydek-mistek/brusperk
Brtnice	Jihlava	jihlava/brtnice
Praha-Řeporyje	Praha	praha/praha-reporyje
Rájec-Jestřebí	Blansko	blansko/rajec-jestrebi
Krásná Lípa	Děčín	decin/krasna-lipa
Lanžhot	Břeclav	breclav/lanzhot
Praha-Vinoř	Praha	praha/praha-vinor
Lázně Bělohrad	Jičín	jicin/lazne-belohrad
Stará Bělá	Ostrava-město	ostrava-mesto/stara-bela
Zliv	České Budějovice	ceske-budejovice/zliv
Praha-Běchovice	Praha	praha/praha-bechovice
Hrabová	Ostrava-město	ostrava-mesto/hrabova
Smržovka	Jablonec nad Nisou	jablonec-nad-nisou/smrzovka
Fryšták	Zlín	zlin/frystak
Planá nad Lužnicí	Tábor	tabor/plana-nad-luznici
Suchdol nad Lužnicí	Jindřichův Hradec	jindrichuv-hradec/suchdol-nad-luznici
Stod	Plzeň-jih	plzen-jih/stod
Strání	Uherské Hradiště	uherske-hradiste/strani
Mutěnice	Hodonín	hodonin/mutenice
Březnice	Příbram	pribram/breznice
Libochovice	Litoměřice	litomerice/libochovice
Valtice	Břeclav	breclav/valtice
Město Albrechtice	Bruntál	bruntal/mesto-albrechtice
Svatobořice-Mistřín	Hodonín	hodonin/svatoborice-mistrin
Sezemice	Pardubice	pardubice/sezemice
Břidličná	Bruntál	bruntal/bridlicna
Žacléř	Trutnov	trutnov/zacler
České Velenice	Jindřichův Hradec	jindrichuv-hradec/ceske-velenice
Praha-Dolní Chabry	Praha	praha/praha-dolni-chabry
Kralovice	Plzeň-sever	plzen-sever/kralovice
Libina	Šumperk	sumperk/libina
Rohatec	Hodonín	hodonin/rohatec
Kostelec nad Černými Lesy	Praha-východ	praha-vychod/kostelec-nad-cernymi-lesy
Baška	Frýdek-Místek	frydek-mistek/baska
Židlochovice	Brno-venkov	brno-venkov/zidlochovice
Rotava	Sokolov	sokolov/rotava
Hanušovice	Šumperk	sumperk/hanusovice
Brno-Chrlice	Brno-město	brno-mesto/brno-chrlice
Vejprnice	Plzeň-sever	plzen-sever/vejprnice
Desná	Jablonec nad Nisou	jablonec-nad-nisou/desna
Kostelec nad Labem	Mělník	melnik/kostelec-nad-labem
Nová Bystřice	Jindřichův Hradec	jindrichuv-hradec/nova-bystrice
Lázně Bohdaneč	Pardubice	pardubice/lazne-bohdanec
Štěpánov	Olomouc	olomouc/stepanov
Ostrožská Nová Ves	Uherské Hradiště	uherske-hradiste/ostrozska-nova-ves
Brno-Žebětín	Brno-město	brno-mesto/brno-zebetin
Štramberk	Nový Jičín	novy-jicin/stramberk
Vejprty	Chomutov	chomutov/vejprty
Dobřichovice	Praha-západ	praha-zapad/dobrichovice
Bílovice nad Svitavou	Brno-venkov	brno-venkov/bilovice-nad-svitavou
Moravský Beroun	Olomouc	olomouc/moravsky-beroun
Háj ve Slezsku	Opava	opava/haj-ve-slezsku
Praha-Nebušice	Praha	praha/praha-nebusice
Libčice nad Vltavou	Praha-západ	praha-zapad/libcice-nad-vltavou
Nivnice	Uherské Hradiště	uherske-hradiste/nivnice
Staňkov	Domažlice	domazlice/stankov
Kobeřice	Opava	opava/koberice
Jablonné nad Orlicí	Ústí nad Orlicí	usti-nad-orlici/jablonne-nad-orlici
Psáry	Praha-západ	praha-zapad/psary
Hrušovany nad Jevišovkou	Znojmo	znojmo/hrusovany-nad-jevisovkou
Rapotín	Šumperk	sumperk/rapotin
Hrušovany u Brna	Brno-venkov	brno-venkov/hrusovany-u-brna
Chvaletice	Pardubice	pardubice/chvaletice
Ždírec nad Doubravou	Havlíčkův Brod	havlickuv-brod/zdirec-nad-doubravou
Lutín	Olomouc	olomouc/lutin
Postřelmov	Šumperk	sumperk/postrelmov
Chrast	Chrudim	chrudim/chrast
Trmice	Ústí nad Labem	usti-nad-labem/trmice
Sadská	Nymburk	nymburk/sadska
Dobrovice	Mladá Boleslav	mlada-boleslav/dobrovice
Jáchymov	Karlovy Vary	karlovy-vary/jachymov
Loket	Sokolov	sokolov/loket
Bludov	Šumperk	sumperk/bludov
Praha-Kolovraty	Praha	praha/praha-kolovraty
Kaznějov	Plzeň-sever	plzen-sever/kaznejov
Nový Malín	Šumperk	sumperk/novy-malin
Třemošnice	Chrudim	chrudim/tremosnice
Praha-Dubeč	Praha	praha/praha-dubec
Praha-Ďáblice	Praha	praha/praha-dablice
Uhlířské Janovice	Kutná Hora	kutna-hora/uhlirske-janovice
Opočno	Rychnov nad Kněžnou	rychnov-nad-kneznou/opocno
Štěpánkovice	Opava	opava/stepankovice
Volyně	Strakonice	strakonice/volyne
Červená Voda	Ústí nad Orlicí	usti-nad-orlici/cervena-voda
Michálkovice	Ostrava-město	ostrava-mesto/michalkovice
Újezd u Brna	Brno-venkov	brno-venkov/ujezd-u-brna
Horoměřice	Praha-západ	praha-zapad/horomerice
Palkovice	Frýdek-Místek	frydek-mistek/palkovice
Teplá	Cheb	cheb/tepla
Řevnice	Praha-západ	praha-zapad/revnice
Vlčnov	Uherské Hradiště	uherske-hradiste/vlcnov
