OKRES	TYPZASTUP	DRUHZASTUP	KODZASTUP	NAZEVZAST	OBVODY	COBVODU	MANDATY	POCOBYV	key
6101	1	2	568414	Havlíčkův Brod	0	1	25	23101	havlickuv-brod
6101	1	2	568759	Chotěboř	0	1	21	9290	chotebor
6101	1	2	569569	Světlá nad Sázavou	0	1	21	6615	svetla-nad-sazavou
6101	1	2	568988	Ledeč nad Sázavou	0	1	15	5104	ledec-nad-sazavou
6101	1	2	569321	Přibyslav	0	1	15	4015	pribyslav
6101	1	2	569780	Ždírec nad Doubravou	0	1	15	3126	zdirec-nad-doubravou
6101	1	2	568635	Golčův Jeníkov	0	1	15	2640	golcuv-jenikov
6101	1	6	569593	Štoky	0	1	15	1944	stoky
6101	1	6	568945	Krucemburk	0	1	15	1560	krucemburk
6101	1	1	569186	Okrouhlice	0	1	15	1372	okrouhlice
6101	1	2	568651	Habry	0	1	15	1316	habry
6101	1	1	569038	Lípa	0	1	15	1149	lipa
6101	1	1	568678	Herálec	0	1	15	1118	heralec
6101	1	6	568503	Česká Bělá	0	1	11	1044	ceska-bela
6101	1	6	569712	Vilémov	0	1	11	975	vilemov
6101	1	6	568660	Havlíčkova Borová	0	1	15	957	havlickova-borova
6101	1	1	568601	Dolní Město	0	1	9	903	dolni-mesto
6101	1	6	569020	Libice nad Doubravou	0	1	15	873	libice-nad-doubravou
6101	1	1	569691	Věž	0	1	11	832	vez
6101	1	1	569585	Šlapanov	0	1	9	804	slapanov
6101	1	1	568902	Kožlí	0	1	9	794	kozli
6101	1	1	569291	Pohled	0	1	7	754	pohled
6101	1	1	569518	Sobíňov	0	1	9	714	sobinov
6101	1	6	569658	Úsobí	0	1	11	673	usobi
6101	1	1	569089	Maleč	0	1	9	665	malec
6101	1	1	569046	Lipnice nad Sázavou	0	1	9	657	lipnice-nad-sazavou
6101	1	1	569062	Lučice	0	1	9	633	lucice
6101	1	1	568694	Hněvkovice	0	1	9	582	hnevkovice
6101	1	1	569011	Leština u Světlé	0	1	9	570	lestina-u-svetle
6101	1	1	568708	Horní Krupá	0	1	7	567	horni-krupa
6101	1	1	569682	Veselý Žďár	0	1	7	559	vesely-zdar
6101	1	1	555266	Nová Ves u Světlé	0	1	9	554	nova-ves-u-svetle
6101	1	1	569160	Nová Ves u Chotěboře	0	1	9	554	nova-ves-u-chotebore
6101	1	6	569640	Uhelná Příbram	0	1	9	522	uhelna-pribram
6101	1	1	568929	Krásná Hora	0	1	9	519	krasna-hora
6101	1	1	569399	Rozsochatec	0	1	9	498	rozsochatec
6101	1	1	568538	Dlouhá Ves	0	1	7	439	dlouha-ves
6101	1	1	548286	Knyk	0	1	7	435	knyk
6101	1	1	568597	Dolní Krupá	0	1	9	418	dolni-krupa
6101	1	1	569704	Věžnice	0	1	9	414	veznice
6101	1	1	569348	Příseka	0	1	7	409	priseka
6101	1	1	568821	Kámen	0	1	9	384	kamen
6101	1	1	569615	Tis	0	1	7	380	tis
6101	1	1	569801	Žižkovo Pole	0	1	9	371	zizkovo-pole
6101	1	1	569224	Oudoleň	0	1	9	368	oudolen
6101	1	1	569216	Olešná	0	1	7	346	olesna
6101	1	1	568520	Číhošť	0	1	9	336	cihost
6101	1	1	569429	Sázavka	0	1	9	327	sazavka
6101	1	1	569674	Vepříkov	0	1	7	324	veprikov
6101	1	1	569488	Slavíkov	0	1	7	300	slavikov
6101	1	1	569470	Skuhrov	0	1	7	287	skuhrov
6101	1	1	548421	Sedletín	0	1	7	282	sedletin
6101	1	1	568805	Jeřišno	0	1	7	271	jerisno
6101	1	1	568457	Bojiště	0	1	7	258	bojiste
6101	1	1	568848	Kamenná Lhota	0	1	7	254	kamenna-lhota
6101	1	1	569721	Vilémovice	0	1	9	253	vilemovice
6101	1	1	548430	Bezděkov	0	1	7	250	bezdekov
6101	1	1	568724	Hradec	0	1	7	247	hradec
6101	1	1	569534	Stříbrné Hory	0	1	7	247	stribrne-hory
6101	1	1	530646	Hurtova Lhota	0	1	7	246	hurtova-lhota
6101	1	1	548588	Okrouhlička	0	1	7	244	okrouhlicka
6101	1	1	568953	Květinov	0	1	7	241	kvetinov
6101	1	1	546216	Jitkov	0	1	7	234	jitkov
6101	1	1	568899	Kozlov	0	1	9	233	kozlov
6101	1	1	530654	Vysoká	0	1	7	222	vysoka
6101	1	1	573566	Bělá	0	1	7	215	bela
6101	1	1	569071	Malčín	0	1	7	213	malcin
6101	1	1	548316	Michalovice	0	1	7	205	michalovice
6101	1	1	548189	Kouty	0	1	7	199	kouty
6101	1	1	568490	Čachotín	0	1	7	186	cachotin
6101	1	1	573582	Víska	0	1	7	186	viska
6101	1	1	569461	Skryje	0	1	7	183	skryje
6101	1	1	569208	Olešenka	0	1	7	181	olesenka
6101	1	1	569402	Rušinov	0	1	7	180	rusinov
6101	1	1	548529	Kochánov	0	1	7	173	kochanov
6101	1	1	569623	Trpišovice	0	1	9	171	trpisovice
6101	1	1	569232	Ovesná Lhota	0	1	7	168	ovesna-lhota
6101	1	1	573604	Služátky	0	1	7	163	sluzatky
