OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
4203	564931	Chodovlice	1	1	807	80	Jana Petržilková, nezávislý kandidát	Jana Petržilková, NK	Petržil.	1	080	84	87.86	1
4203	564931	Chodovlice	1	2	808	80	Petr Lát, nezávislý kandidát	Petr Lát, NK	Lát	1	080	78	81.58	1
4203	564931	Chodovlice	1	3	809	80	Roman Bacílek, nezávislý kandidát	Roman Bacílek, NK	Bacílek	1	080	71	74.26	1
4203	564931	Chodovlice	1	4	802	80	Jiří Suchomel, nezávislý kandidát	Jiří Suchomel, NK	Suchomel	1	080	82	85.77	1
4203	564931	Chodovlice	1	5	803	80	Zbyněk Hnát, nezávislý kandidát	Zbyněk Hnát, NK	Hnát	1	080	77	80.54	1
4203	564931	Chodovlice	1	6	804	80	Jitka Březinová, nezávislý kandidát	Jitka Březinová, NK	Březin.	1	080	4	4.18	0
4203	564931	Chodovlice	1	7	801	80	František Kumpe, nezávislý kandidát	František Kumpe, NK	Kumpe	1	080	19	19.87	0
4203	564931	Chodovlice	1	8	805	80	Libor Marek, nezávislý kandidát	Libor Marek, NK	Marek	1	080	36	37.65	0
4203	564931	Chodovlice	1	9	806	80	Petr Majer, nezávislý kandidát	Petr Majer, NK	Majer	1	080	27	28.24	0
