OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
6102	587478	Luka nad Jihlavou	1	1	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	2323	14.65	2
6102	587478	Luka nad Jihlavou	1	2	449	449	Sdružení nezávislých SNK ED	Sdruž. nezáv.  SNK ED		2	080,129	6122	38.63	6
6102	587478	Luka nad Jihlavou	1	3	901	90	Sdružení nezávislých kandidátů - Luka nad Jihlavou 2006	Sdruž.nez.kand.-Luk.n/Ji 2006	SNK-CELK	1	080	2529	15.95	2
6102	587478	Luka nad Jihlavou	1	4	1	1	Křesťanská demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	4873	30.75	5
