label	zastKey	okrKey	okres
Želechovice nad Dřevnicí	zelechovice-nad-drevnici	zlin	Zlín
Petrov nad Desnou	petrov-nad-desnou	sumperk	Šumperk
Libhošť	libhost	novy-jicin	Nový Jičín
Praha 1	praha-1	praha	Praha
Krhová	krhova	vsetin	Vsetín
Poličná	policna	vsetin	Vsetín
Praha 2	praha-2	praha	Praha
Praha 3	praha-3	praha	Praha
Bražec	brazec	karlovy-vary	Karlovy Vary
Praha 4	praha-4	praha	Praha
Doupovské Hradiště	doupovske-hradiste	karlovy-vary	Karlovy Vary
Kozlov	kozlov	olomouc	Olomouc
Praha 5	praha-5	praha	Praha
Luboměř pod Strážnou	lubomer-pod-straznou	prerov	Přerov
Město Libavá	mesto-libava	olomouc	Olomouc
Praha 6	praha-6	praha	Praha
Praha 7	praha-7	praha	Praha
Polná na Šumavě	polna-na-sumave	cesky-krumlov	Český Krumlov
Praha 8	praha-8	praha	Praha
Praha 9	praha-9	praha	Praha
Praha 10	praha-10	praha	Praha
Veřovice	verovice	novy-jicin	Nový Jičín
Vřesina	vresina	ostrava-mesto	Ostrava-město
Olomouc	olomouc	olomouc	Olomouc
Bělkovice-Lašťany	belkovice-lastany	olomouc	Olomouc
Bílá Lhota	bila-lhota	olomouc	Olomouc
Blatec	blatec	olomouc	Olomouc
Bohuňovice	bohunovice	olomouc	Olomouc
Bouzov	bouzov	olomouc	Olomouc
Bystročice	bystrocice	olomouc	Olomouc
Ústí nad Labem-Severní Terasa	usti-nad-labem-severni-terasa	usti-nad-labem	Ústí nad Labem
Dlouhá Loučka	dlouha-loucka	olomouc	Olomouc
Dolany	dolany	olomouc	Olomouc
Drahanovice	drahanovice	olomouc	Olomouc
Dub nad Moravou	dub-nad-moravou	olomouc	Olomouc
Grygov	grygov	olomouc	Olomouc
Ústí nad Labem-Neštěmice	usti-nad-labem-nestemice	usti-nad-labem	Ústí nad Labem
Hlubočky	hlubocky	olomouc	Olomouc
Hněvotín	hnevotin	olomouc	Olomouc
Ústí nad Labem-Střekov	usti-nad-labem-strekov	usti-nad-labem	Ústí nad Labem
Hnojice	hnojice	olomouc	Olomouc
Horka nad Moravou	horka-nad-moravou	olomouc	Olomouc
Cholina	cholina	olomouc	Olomouc
Jívová	jivova	olomouc	Olomouc
Kožušany-Tážaly	kozusany-tazaly	olomouc	Olomouc
Žitovlice	zitovlice	nymburk	Nymburk
Litovel	litovel	olomouc	Olomouc
Luká	luka	olomouc	Olomouc
Lutín	lutin	olomouc	Olomouc
Majetín	majetin	olomouc	Olomouc
Kostelec	kostelec	tachov	Tachov
Mladeč	mladec	olomouc	Olomouc
Dřenice	drenice	chrudim	Chrudim
Náklo	naklo	olomouc	Olomouc
Náměšť na Hané	namest-na-hane	olomouc	Olomouc
Paseka	paseka	olomouc	Olomouc
Lány	lany	chrudim	Chrudim
Třibřichy	tribrichy	chrudim	Chrudim
Dvakačovice	dvakacovice	chrudim	Chrudim
Bítovany	bitovany	chrudim	Chrudim
Příkazy	prikazy	olomouc	Olomouc
Dolní Bezděkov	dolni-bezdekov	chrudim	Chrudim
Senice na Hané	senice-na-hane	olomouc	Olomouc
Červená Hora	cervena-hora	nachod	Náchod
Slatinice	slatinice	olomouc	Olomouc
Březová nad Svitavou	brezova-nad-svitavou	svitavy	Svitavy
Štěpánov	stepanov	olomouc	Olomouc
Šternberk	sternberk	olomouc	Olomouc
Šumvald	sumvald	olomouc	Olomouc
Těšetice	tesetice	olomouc	Olomouc
Troubelice	troubelice	olomouc	Olomouc
Tršice	trsice	olomouc	Olomouc
Bělá u Jevíčka	bela-u-jevicka	svitavy	Svitavy
Újezd	ujezd	olomouc	Olomouc
Jenčice	jencice	litomerice	Litoměřice
Uničov	unicov	olomouc	Olomouc
Velká Bystřice	velka-bystrice	olomouc	Olomouc
Velký Týnec	velky-tynec	olomouc	Olomouc
Velký Újezd	velky-ujezd	olomouc	Olomouc
Zápy	zapy	praha-vychod	Praha-východ
Žerotín	zerotin	olomouc	Olomouc
Opava	opava	opava	Opava
Bohuslavice	bohuslavice	opava	Opava
Bolatice	bolatice	opava	Opava
Brumovice	brumovice	opava	Opava
Březová	brezova	opava	Opava
Budišov nad Budišovkou	budisov-nad-budisovkou	opava	Opava
Boží Dar	bozi-dar	karlovy-vary	Karlovy Vary
Nové Hamry	nove-hamry	karlovy-vary	Karlovy Vary
Čichalov	cichalov	karlovy-vary	Karlovy Vary
Skořice	skorice	rokycany	Rokycany
Otmarov	otmarov	brno-venkov	Brno-venkov
Dolní Benešov	dolni-benesov	opava	Opava
Dolní Lhota	dolni-lhota	ostrava-mesto	Ostrava-město
Dvorce	dvorce	jihlava	Jihlava
Chvalčov	chvalcov	kromeriz	Kroměříž
Háj ve Slezsku	haj-ve-slezsku	opava	Opava
Alojzov	alojzov	prostejov	Prostějov
Seloutky	seloutky	prostejov	Prostějov
Hlučín	hlucin	opava	Opava
Nýdek	nydek	frydek-mistek	Frýdek-Místek
Hněvošice	hnevosice	opava	Opava
Holasovice	holasovice	opava	Opava
Pržno	przno	frydek-mistek	Frýdek-Místek
Komorní Lhotka	komorni-lhotka	frydek-mistek	Frýdek-Místek
Hrabyně	hrabyne	opava	Opava
Hradec nad Moravicí	hradec-nad-moravici	opava	Opava
Chuchelná	chuchelna	opava	Opava
Jakartovice	jakartovice	opava	Opava
Janovice	janovice	frydek-mistek	Frýdek-Místek
Košařiska	kosariska	frydek-mistek	Frýdek-Místek
Kobeřice	koberice	opava	Opava
Milíkov	milikov	frydek-mistek	Frýdek-Místek
Kravaře	kravare	opava	Opava
Doňov	donov	jindrichuv-hradec	Jindřichův Hradec
Pleše	plese	jindrichuv-hradec	Jindřichův Hradec
Újezdec	ujezdec	jindrichuv-hradec	Jindřichův Hradec
Višňová	visnova	jindrichuv-hradec	Jindřichův Hradec
Záhoří	zahori	jindrichuv-hradec	Jindřichův Hradec
Peč	pec	jindrichuv-hradec	Jindřichův Hradec
