NUMNUTS	NAZEVNUTS	key
1199	Praha	praha
2101	Benešov	benesov
2102	Beroun	beroun
2103	Kladno	kladno
2104	Kolín	kolin
2105	Kutná Hora	kutna-hora
2106	Mělník	melnik
2107	Mladá Boleslav	mlada-boleslav
2108	Nymburk	nymburk
2109	Praha-východ	praha-vychod
2110	Praha-západ	praha-zapad
2111	Příbram	pribram
2112	Rakovník	rakovnik
3101	České Budějovice	ceske-budejovice
3102	Český Krumlov	cesky-krumlov
3103	Jindřichův Hradec	jindrichuv-hradec
3104	Písek	pisek
3105	Prachatice	prachatice
3106	Strakonice	strakonice
3107	Tábor	tabor
3201	Domažlice	domazlice
3202	Klatovy	klatovy
3203	Plzeň-město	plzen-mesto
3204	Plzeň-jih	plzen-jih
3205	Plzeň-sever	plzen-sever
3206	Rokycany	rokycany
3207	Tachov	tachov
4101	Cheb	cheb
4102	Karlovy Vary	karlovy-vary
4103	Sokolov	sokolov
4201	Děčín	decin
4202	Chomutov	chomutov
4203	Litoměřice	litomerice
4204	Louny	louny
4205	Most	most
4206	Teplice	teplice
4207	Ústí nad Labem	usti-nad-labem
5101	Česká Lípa	ceska-lipa
5102	Jablonec nad Nisou	jablonec-nad-nisou
5103	Liberec	liberec
5104	Semily	semily
5201	Hradec Králové	hradec-kralove
5202	Jičín	jicin
5203	Náchod	nachod
5204	Rychnov nad Kněžnou	rychnov-nad-kneznou
5205	Trutnov	trutnov
5301	Chrudim	chrudim
5302	Pardubice	pardubice
5303	Svitavy	svitavy
5304	Ústí nad Orlicí	usti-nad-orlici
6101	Havlíčkův Brod	havlickuv-brod
6102	Jihlava	jihlava
6103	Pelhřimov	pelhrimov
6104	Třebíč	trebic
6105	Žďár nad Sázavou	zdar-nad-sazavou
6201	Blansko	blansko
6202	Brno-město	brno-mesto
6203	Brno-venkov	brno-venkov
6204	Břeclav	breclav
6205	Hodonín	hodonin
6206	Vyškov	vyskov
6207	Znojmo	znojmo
7101	Jeseník	jesenik
7102	Olomouc	olomouc
7103	Prostějov	prostejov
7104	Přerov	prerov
7105	Šumperk	sumperk
7201	Kroměříž	kromeriz
7202	Uherské Hradiště	uherske-hradiste
7203	Vsetín	vsetin
7204	Zlín	zlin
8101	Bruntál	bruntal
8102	Frýdek-Místek	frydek-mistek
8103	Karviná	karvina
8104	Nový Jičín	novy-jicin
8105	Opava	opava
8106	Ostrava-město	ostrava-mesto
