label	value
Mukařov, okr. Praha-východ	praha-vychod/mukarov
Praha-Nedvězí, okr. Praha	praha/praha-nedvezi
Nehvizdy, okr. Praha-východ	praha-vychod/nehvizdy
Nová Ves, okr. Praha-východ	praha-vychod/nova-ves
Nový Vestec, okr. Praha-východ	praha-vychod/novy-vestec
Odolena Voda, okr. Praha-východ	praha-vychod/odolena-voda
Ondřejov, okr. Praha-východ	praha-vychod/ondrejov
Dolní Rychnov, okr. Sokolov	sokolov/dolni-rychnov
Panenské Břežany, okr. Praha-východ	praha-vychod/panenske-brezany
Petříkov, okr. Praha-východ	praha-vychod/petrikov
Podolanka, okr. Praha-východ	praha-vychod/podolanka
Polerady, okr. Praha-východ	praha-vychod/polerady
Postřižín, okr. Mělník	melnik/postrizin
Předboj, okr. Praha-východ	praha-vychod/predboj
Tatrovice, okr. Sokolov	sokolov/tatrovice
Přezletice, okr. Praha-východ	praha-vychod/prezletice
Pyšely, okr. Benešov	benesov/pysely
Radějovice, okr. Praha-východ	praha-vychod/radejovice
Radonice, okr. Praha-východ	praha-vychod/radonice
Řehenice, okr. Benešov	benesov/rehenice
Říčany, okr. Praha-východ	praha-vychod/ricany
Praha-Satalice, okr. Praha	praha/praha-satalice
Březnice, okr. Zlín	zlin/breznice
Senohraby, okr. Praha-východ	praha-vychod/senohraby
Sibřina, okr. Praha-východ	praha-vychod/sibrina
Sluhy, okr. Praha-východ	praha-vychod/sluhy
Sluštice, okr. Praha-východ	praha-vychod/slustice
Krásná, okr. Cheb	cheb/krasna
Strančice, okr. Praha-východ	praha-vychod/strancice
Podhradí, okr. Cheb	cheb/podhradi
Struhařov, okr. Praha-východ	praha-vychod/struharov
Sulice, okr. Praha-východ	praha-vychod/sulice
Světice, okr. Praha-východ	praha-vychod/svetice
Svojetice, okr. Praha-východ	praha-vychod/svojetice
Pomezí nad Ohří, okr. Cheb	cheb/pomezi-nad-ohri
Šestajovice, okr. Praha-východ	praha-vychod/sestajovice
Škvorec, okr. Praha-východ	praha-vychod/skvorec
Tehov, okr. Praha-východ	praha-vychod/tehov
Milíkov, okr. Cheb	cheb/milikov
Lázně Toušeň, okr. Praha-východ	praha-vychod/lazne-tousen
Okrouhlá, okr. Cheb	cheb/okrouhla
Praha 22, okr. Praha	praha/praha-22
Praha 21, okr. Praha	praha/praha-21
Úvaly, okr. Praha-východ	praha-vychod/uvaly
Veleň, okr. Praha-východ	praha-vychod/velen
Veliká Ves, okr. Praha-východ	praha-vychod/velika-ves
Velké Popovice, okr. Praha-východ	praha-vychod/velke-popovice
Větrušice, okr. Praha-východ	praha-vychod/vetrusice
Praha-Vinoř, okr. Praha	praha/praha-vinor
Vodochody, okr. Praha-východ	praha-vychod/vodochody
Třebeň, okr. Cheb	cheb/treben
Všestary, okr. Praha-východ	praha-vychod/vsestary
Vyšehořovice, okr. Praha-východ	praha-vychod/vysehorovice
Zdiby, okr. Praha-východ	praha-vychod/zdiby
Zeleneč, okr. Praha-východ	praha-vychod/zelenec
Vojtanov, okr. Cheb	cheb/vojtanov
Zlonín, okr. Praha-východ	praha-vychod/zlonin
Zvánovice, okr. Praha-východ	praha-vychod/zvanovice
Bojanovice, okr. Praha-západ	praha-zapad/bojanovice
Stará Voda, okr. Cheb	cheb/stara-voda
Černolice, okr. Praha-západ	praha-zapad/cernolice
Černošice, okr. Praha-západ	praha-zapad/cernosice
Číčovice, okr. Praha-západ	praha-zapad/cicovice
Čisovice, okr. Praha-západ	praha-zapad/cisovice
Davle, okr. Praha-západ	praha-zapad/davle
Dobrovíz, okr. Praha-západ	praha-zapad/dobroviz
Dobříč, okr. Praha-západ	praha-zapad/dobric
Dobřichovice, okr. Praha-západ	praha-zapad/dobrichovice
Dolany nad Vltavou, okr. Mělník	melnik/dolany-nad-vltavou
Dolní Břežany, okr. Praha-západ	praha-zapad/dolni-brezany
Holubice, okr. Praha-západ	praha-zapad/holubice
Horoměřice, okr. Praha-západ	praha-zapad/horomerice
Hostivice, okr. Praha-západ	praha-zapad/hostivice
Hradištko, okr. Praha-západ	praha-zapad/hradistko
Hvozdnice, okr. Praha-západ	praha-zapad/hvozdnice
Velká Hleďsebe, okr. Cheb	cheb/velka-hledsebe
Choteč, okr. Praha-západ	praha-zapad/chotec
Chrášťany, okr. Praha-západ	praha-zapad/chrastany
Chýně, okr. Praha-západ	praha-zapad/chyne
Jeneč, okr. Praha-západ	praha-zapad/jenec
Jesenice, okr. Praha-západ	praha-zapad/jesenice
Jílové u Prahy, okr. Praha-západ	praha-zapad/jilove-u-prahy
Jíloviště, okr. Praha-západ	praha-zapad/jiloviste
Jinočany, okr. Praha-západ	praha-zapad/jinocany
Kamenný Přívoz, okr. Praha-západ	praha-zapad/kamenny-privoz
Vlkovice, okr. Cheb	cheb/vlkovice
Kněževes, okr. Praha-západ	praha-zapad/knezeves
Kosoř, okr. Praha-západ	praha-zapad/kosor
Lety, okr. Praha-západ	praha-zapad/lety
Libčice nad Vltavou, okr. Praha-západ	praha-zapad/libcice-nad-vltavou
Libeř, okr. Praha-západ	praha-zapad/liber
Zádub-Závišín, okr. Cheb	cheb/zadub-zavisin
Praha-Lipence, okr. Praha	praha/praha-lipence
Líšnice, okr. Praha-západ	praha-zapad/lisnice
Praha-Lochkov, okr. Praha	praha/praha-lochkov
Ovesné Kladruby, okr. Cheb	cheb/ovesne-kladruby
Valy, okr. Cheb	cheb/valy
Měchenice, okr. Praha-západ	praha-zapad/mechenice
Ohrobec, okr. Praha-západ	praha-zapad/ohrobec
Okrouhlo, okr. Praha-západ	praha-zapad/okrouhlo
Ořech, okr. Praha-západ	praha-zapad/orech
Prameny, okr. Cheb	cheb/prameny
Petrov, okr. Praha-západ	praha-zapad/petrov
Odrava, okr. Cheb	cheb/odrava
Pohoří, okr. Praha-západ	praha-zapad/pohori
Průhonice, okr. Praha-západ	praha-zapad/pruhonice
Praha-Přední Kopanina, okr. Praha	praha/praha-predni-kopanina
Psáry, okr. Praha-západ	praha-zapad/psary
Praha 16, okr. Praha	praha/praha-16
Tuřany, okr. Cheb	cheb/turany
Roztoky, okr. Praha-západ	praha-zapad/roztoky
Praha-Řeporyje, okr. Praha	praha/praha-reporyje
Řevnice, okr. Praha-západ	praha-zapad/revnice
Řitka, okr. Praha-západ	praha-zapad/ritka
Slapy, okr. Praha-západ	praha-zapad/slapy
Praha-Slivenec, okr. Praha	praha/praha-slivenec
Statenice, okr. Praha-západ	praha-zapad/statenice
Praha 13, okr. Praha	praha/praha-13
Středokluky, okr. Praha-západ	praha-zapad/stredokluky
Měcholupy, okr. Plzeň-jih	plzen-jih/mecholupy
Praha-Šeberov, okr. Praha	praha/praha-seberov
Štěchovice, okr. Praha-západ	praha-zapad/stechovice
Štěnovický Borek, okr. Plzeň-město	plzen-mesto/stenovicky-borek
Třebotov, okr. Praha-západ	praha-zapad/trebotov
Tuchoměřice, okr. Praha-západ	praha-zapad/tuchomerice
Tursko, okr. Praha-západ	praha-zapad/tursko
Oplot, okr. Plzeň-jih	plzen-jih/oplot
Praha-Újezd, okr. Praha	praha/praha-ujezd
Únětice, okr. Praha-západ	praha-zapad/unetice
Velké Přílepy, okr. Praha-západ	praha-zapad/velke-prilepy
Horní Lukavice, okr. Plzeň-jih	plzen-jih/horni-lukavice
Vonoklasy, okr. Praha-západ	praha-zapad/vonoklasy
Vrané nad Vltavou, okr. Praha-západ	praha-zapad/vrane-nad-vltavou
Všenory, okr. Praha-západ	praha-zapad/vsenory
Praha-Zbraslav, okr. Praha	praha/praha-zbraslav
Zbuzany, okr. Praha-západ	praha-zapad/zbuzany
Zlatníky-Hodkovice, okr. Praha-západ	praha-zapad/zlatniky-hodkovice
Praha-Zličín, okr. Praha	praha/praha-zlicin
Zvole, okr. Praha-západ	praha-zapad/zvole
Příbram, okr. Příbram	pribram/pribram
Týniště, okr. Plzeň-jih	plzen-jih/tyniste
Skašov, okr. Plzeň-jih	plzen-jih/skasov
Dolce, okr. Plzeň-jih	plzen-jih/dolce
Bohutín, okr. Příbram	pribram/bohutin
Libina, okr. Šumperk	sumperk/libina
Borotice, okr. Příbram	pribram/borotice
Bratkovice, okr. Příbram	pribram/bratkovice
Lipinka, okr. Olomouc	olomouc/lipinka
Březnice, okr. Příbram	pribram/breznice
Buková u Příbramě, okr. Příbram	pribram/bukova-u-pribrame
Lipová-lázně, okr. Jeseník	jesenik/lipova-lazne
Buš, okr. Praha-západ	praha-zapad/bus
Střelice, okr. Plzeň-jih	plzen-jih/strelice
Lisov, okr. Plzeň-jih	plzen-jih/lisov
Čenkov, okr. Příbram	pribram/cenkov
Čím, okr. Příbram	pribram/cim
Daleké Dušníky, okr. Příbram	pribram/daleke-dusniky
Nezdřev, okr. Plzeň-jih	plzen-jih/nezdrev
Dobříš, okr. Příbram	pribram/dobris
Dolní Hbity, okr. Příbram	pribram/dolni-hbity
Životice, okr. Plzeň-jih	plzen-jih/zivotice
Drahlín, okr. Příbram	pribram/drahlin
Drásov, okr. Příbram	pribram/drasov
Líšnice, okr. Šumperk	sumperk/lisnice
Drevníky, okr. Příbram	pribram/drevniky
Drhovy, okr. Příbram	pribram/drhovy
Loštice, okr. Šumperk	sumperk/lostice
Kozlovice, okr. Plzeň-jih	plzen-jih/kozlovice
Dublovice, okr. Příbram	pribram/dublovice
Loučná nad Desnou, okr. Šumperk	sumperk/loucna-nad-desnou
Lukavice, okr. Šumperk	sumperk/lukavice
Hluboš, okr. Příbram	pribram/hlubos
Drahkov, okr. Plzeň-jih	plzen-jih/drahkov
Nová Ves, okr. Plzeň-jih	plzen-jih/nova-ves
Hřiměždice, okr. Příbram	pribram/hrimezdice
Otěšice, okr. Plzeň-jih	plzen-jih/otesice
Chlumy, okr. Plzeň-jih	plzen-jih/chlumy
Hvožďany, okr. Příbram	pribram/hvozdany
Chotilsko, okr. Příbram	pribram/chotilsko
Malá Morava, okr. Šumperk	sumperk/mala-morava
Nebílovy, okr. Plzeň-jih	plzen-jih/nebilovy
Chraštice, okr. Příbram	pribram/chrastice
Maletín, okr. Šumperk	sumperk/maletin
Jablonná, okr. Příbram	pribram/jablonna
Mikulovice, okr. Jeseník	jesenik/mikulovice
Jesenice, okr. Příbram	pribram/jesenice
Jince, okr. Příbram	pribram/jince
Předenice, okr. Plzeň-jih	plzen-jih/predenice
Radkovice, okr. Plzeň-jih	plzen-jih/radkovice
Kamýk nad Vltavou, okr. Příbram	pribram/kamyk-nad-vltavou
Klučenice, okr. Příbram	pribram/klucenice
Bolkov, okr. Plzeň-jih	plzen-jih/bolkov
Mohelnice, okr. Šumperk	sumperk/mohelnice
Moravičany, okr. Šumperk	sumperk/moravicany
Kosova Hora, okr. Příbram	pribram/kosova-hora
Nový Malín, okr. Šumperk	sumperk/novy-malin
Olšany, okr. Šumperk	sumperk/olsany
Únětice, okr. Plzeň-jih	plzen-jih/unetice
Kozárovice, okr. Příbram	pribram/kozarovice
Oskava, okr. Šumperk	sumperk/oskava
Krásná Hora nad Vltavou, okr. Příbram	pribram/krasna-hora-nad-vltavou
Letkov, okr. Plzeň-město	plzen-mesto/letkov
Křepenice, okr. Příbram	pribram/krepenice
Křešín, okr. Příbram	pribram/kresin
Palonín, okr. Šumperk	sumperk/palonin
Pavlov, okr. Šumperk	sumperk/pavlov
Líšina, okr. Plzeň-jih	plzen-jih/lisina
Láz, okr. Příbram	pribram/laz
Kotovice, okr. Plzeň-jih	plzen-jih/kotovice
Mokrouše, okr. Plzeň-město	plzen-mesto/mokrouse
Písařov, okr. Šumperk	sumperk/pisarov
Honezovice, okr. Plzeň-jih	plzen-jih/honezovice
Srby, okr. Plzeň-jih	plzen-jih/srby
Písečná, okr. Jeseník	jesenik/pisecna
Sedliště, okr. Plzeň-jih	plzen-jih/sedliste
Vlčtejn, okr. Plzeň-jih	plzen-jih/vlctejn
Malá Hraštice, okr. Příbram	pribram/mala-hrastice
Smědčice, okr. Rokycany	rokycany/smedcice
Police, okr. Šumperk	sumperk/police
Milešov, okr. Příbram	pribram/milesov
Milín, okr. Příbram	pribram/milin
Mníšek pod Brdy, okr. Praha-západ	praha-zapad/mnisek-pod-brdy
Postřelmov, okr. Šumperk	sumperk/postrelmov
Mokrovraty, okr. Příbram	pribram/mokrovraty
Nalžovice, okr. Příbram	pribram/nalzovice
Chlum, okr. Rokycany	rokycany/chlum
Nečín, okr. Příbram	pribram/necin
Nedrahovice, okr. Příbram	pribram/nedrahovice
Nechvalice, okr. Příbram	pribram/nechvalice
Rájec, okr. Šumperk	sumperk/rajec
Rapotín, okr. Šumperk	sumperk/rapotin
Rohle, okr. Šumperk	sumperk/rohle
Nová Ves pod Pleší, okr. Příbram	pribram/nova-ves-pod-plesi
Nové Dvory, okr. Příbram	pribram/nove-dvory
Nový Knín, okr. Příbram	pribram/novy-knin
Rovensko, okr. Šumperk	sumperk/rovensko
Čilá, okr. Rokycany	rokycany/cila
Obecnice, okr. Příbram	pribram/obecnice
Obory, okr. Příbram	pribram/obory
Obořiště, okr. Příbram	pribram/oboriste
Ohrazenice, okr. Příbram	pribram/ohrazenice
Ruda nad Moravou, okr. Šumperk	sumperk/ruda-nad-moravou
Sobotín, okr. Šumperk	sumperk/sobotin
Hradiště, okr. Rokycany	rokycany/hradiste
Ouběnice, okr. Příbram	pribram/oubenice
Pečice, okr. Příbram	pribram/pecice
Stará Červená Voda, okr. Jeseník	jesenik/stara-cervena-voda
Petrovice, okr. Příbram	pribram/petrovice
Pičín, okr. Příbram	pribram/picin
Zvíkovec, okr. Rokycany	rokycany/zvikovec
Staré Město, okr. Šumperk	sumperk/stare-mesto
Počepice, okr. Příbram	pribram/pocepice
Bezděkov, okr. Rokycany	rokycany/bezdekov
Sudkov, okr. Šumperk	sumperk/sudkov
Supíkovice, okr. Jeseník	jesenik/supikovice
Svébohov, okr. Šumperk	sumperk/svebohov
Prosenická Lhota, okr. Příbram	pribram/prosenicka-lhota
Chomle, okr. Rokycany	rokycany/chomle
Kamenný Újezd, okr. Rokycany	rokycany/kamenny-ujezd
Štíty, okr. Šumperk	sumperk/stity
Svojkovice, okr. Rokycany	rokycany/svojkovice
Nevid, okr. Rokycany	rokycany/nevid
Rosovice, okr. Příbram	pribram/rosovice
Uhelná, okr. Jeseník	jesenik/uhelna
Úsov, okr. Šumperk	sumperk/usov
Rožmitál pod Třemšínem, okr. Příbram	pribram/rozmital-pod-tremsinem
Vápenná, okr. Jeseník	jesenik/vapenna
Rybníky, okr. Příbram	pribram/rybniky
Velké Losiny, okr. Šumperk	sumperk/velke-losiny
Sádek, okr. Příbram	pribram/sadek
Sedlčany, okr. Příbram	pribram/sedlcany
Horní Kozolupy, okr. Tachov	tachov/horni-kozolupy
Vidnava, okr. Jeseník	jesenik/vidnava
Smolotely, okr. Příbram	pribram/smolotely
Solenice, okr. Příbram	pribram/solenice
Stará Huť, okr. Příbram	pribram/stara-hut
Vlčice, okr. Jeseník	jesenik/vlcice
Zábřeh, okr. Šumperk	sumperk/zabreh
Zadní Chodov, okr. Tachov	tachov/zadni-chodov
Suchodol, okr. Příbram	pribram/suchodol
Svaté Pole, okr. Příbram	pribram/svate-pole
Svatý Jan, okr. Příbram	pribram/svaty-jan
Broumov, okr. Tachov	tachov/broumov
Štětkovice, okr. Příbram	pribram/stetkovice
Tochovice, okr. Příbram	pribram/tochovice
Únehle, okr. Tachov	tachov/unehle
Obora, okr. Tachov	tachov/obora
Třebsko, okr. Příbram	pribram/trebsko
Zhoř, okr. Tachov	tachov/zhor
Zvole, okr. Šumperk	sumperk/zvole
Prostiboř, okr. Tachov	tachov/prostibor
Kokašice, okr. Tachov	tachov/kokasice
Věšín, okr. Příbram	pribram/vesin
Višňová, okr. Příbram	pribram/visnova
Volenice, okr. Příbram	pribram/volenice
Milíře, okr. Tachov	tachov/milire
Voznice, okr. Příbram	pribram/voznice
Kočov, okr. Tachov	tachov/kocov
Vranovice, okr. Příbram	pribram/vranovice
Žulová, okr. Jeseník	jesenik/zulova
Vysoká u Příbramě, okr. Příbram	pribram/vysoka-u-pribrame
Vysoký Chlumec, okr. Příbram	pribram/vysoky-chlumec
Brod nad Tichou, okr. Tachov	tachov/brod-nad-tichou
Zalužany, okr. Příbram	pribram/zaluzany
Tisová, okr. Tachov	tachov/tisova
Vsetín, okr. Vsetín	vsetin/vsetin
Branky, okr. Vsetín	vsetin/branky
Rakovník, okr. Rakovník	rakovnik/rakovnik
Záchlumí, okr. Tachov	tachov/zachlumi
Branov, okr. Rakovník	rakovnik/branov
Ošelín, okr. Tachov	tachov/oselin
Čistá, okr. Rakovník	rakovnik/cista
Lom u Tachova, okr. Tachov	tachov/lom-u-tachova
Bystřička, okr. Vsetín	vsetin/bystricka
Hořesedly, okr. Rakovník	rakovnik/horesedly
Hořovičky, okr. Rakovník	rakovnik/horovicky
Myslovice, okr. Klatovy	klatovy/myslovice
Ježovy, okr. Klatovy	klatovy/jezovy
Hřebečníky, okr. Rakovník	rakovnik/hrebecniky
Hředle, okr. Rakovník	rakovnik/hredle
Poleň, okr. Klatovy	klatovy/polen
Hejná, okr. Klatovy	klatovy/hejna
Dolní Bečva, okr. Vsetín	vsetin/dolni-becva
Chrášťany, okr. Rakovník	rakovnik/chrastany
Kejnice, okr. Klatovy	klatovy/kejnice
Jesenice, okr. Rakovník	rakovnik/jesenice
Běhařov, okr. Klatovy	klatovy/beharov
Klenová, okr. Klatovy	klatovy/klenova
Javor, okr. Klatovy	klatovy/javor
Kněževes, okr. Rakovník	rakovnik/knezeves
Týnec, okr. Klatovy	klatovy/tynec
Kolešovice, okr. Rakovník	rakovnik/kolesovice
Kounov, okr. Rakovník	rakovnik/kounov
Obytce, okr. Klatovy	klatovy/obytce
Břežany, okr. Klatovy	klatovy/brezany
Kvášňovice, okr. Klatovy	klatovy/kvasnovice
Kroučová, okr. Rakovník	rakovnik/kroucova
Olšany, okr. Klatovy	klatovy/olsany
Krupá, okr. Rakovník	rakovnik/krupa
Krušovice, okr. Rakovník	rakovnik/krusovice
Křivoklát, okr. Rakovník	rakovnik/krivoklat
Lány, okr. Kladno	kladno/lany
Lašovice, okr. Rakovník	rakovnik/lasovice
Lišany, okr. Rakovník	rakovnik/lisany
Číhaň, okr. Klatovy	klatovy/cihan
Lubná, okr. Rakovník	rakovnik/lubna
Lužná, okr. Rakovník	rakovnik/luzna
Mlýnské Struhadlo, okr. Klatovy	klatovy/mlynske-struhadlo
Městečko, okr. Rakovník	rakovnik/mestecko
Milostín, okr. Rakovník	rakovnik/milostin
Hnačov, okr. Klatovy	klatovy/hnacov
Horská Kvilda, okr. Klatovy	klatovy/horska-kvilda
Mšec, okr. Rakovník	rakovnik/msec
Mšecké Žehrovice, okr. Rakovník	rakovnik/msecke-zehrovice
Mutějovice, okr. Rakovník	rakovnik/mutejovice
Nesuchyně, okr. Rakovník	rakovnik/nesuchyne
Modrava, okr. Klatovy	klatovy/modrava
Borovy, okr. Plzeň-jih	plzen-jih/borovy
Nové Strašecí, okr. Rakovník	rakovnik/nove-straseci
Červené Poříčí, okr. Klatovy	klatovy/cervene-porici
Nový Dům, okr. Rakovník	rakovnik/novy-dum
Olešná, okr. Rakovník	rakovnik/olesna
Oráčov, okr. Rakovník	rakovnik/oracov
Panoší Újezd, okr. Rakovník	rakovnik/panosi-ujezd
Petrovice, okr. Rakovník	rakovnik/petrovice
Pochvalov, okr. Rakovník	rakovnik/pochvalov
Příčina, okr. Rakovník	rakovnik/pricina
Pšovlky, okr. Rakovník	rakovnik/psovlky
Pustověty, okr. Rakovník	rakovnik/pustovety
Nezdice, okr. Plzeň-jih	plzen-jih/nezdice
Blazice, okr. Kroměříž	kromeriz/blazice
Ruda, okr. Rakovník	rakovnik/ruda
Rynholec, okr. Rakovník	rakovnik/rynholec
Honětice, okr. Kroměříž	kromeriz/honetice
Řevničov, okr. Rakovník	rakovnik/revnicov
Senec, okr. Rakovník	rakovnik/senec
Senomaty, okr. Rakovník	rakovnik/senomaty
Skryje, okr. Rakovník	rakovnik/skryje
Vrbka, okr. Kroměříž	kromeriz/vrbka
Trnovany, okr. Litoměřice	litomerice/trnovany
Slabce, okr. Rakovník	rakovnik/slabce
Černouček, okr. Litoměřice	litomerice/cernoucek
Srbeč, okr. Rakovník	rakovnik/srbec
Oleško, okr. Litoměřice	litomerice/olesko
Svojetín, okr. Rakovník	rakovnik/svojetin
Sýkořice, okr. Rakovník	rakovnik/sykorice
Šanov, okr. Rakovník	rakovnik/sanov
Záluží, okr. Litoměřice	litomerice/zaluzi
Malíč, okr. Litoměřice	litomerice/malic
Třeboc, okr. Rakovník	rakovnik/treboc
Třtice, okr. Rakovník	rakovnik/trtice
Michalovice, okr. Litoměřice	litomerice/michalovice
Píšťany, okr. Litoměřice	litomerice/pistany
Blšany u Loun, okr. Louny	louny/blsany-u-loun
Opočno, okr. Louny	louny/opocno
Velká Buková, okr. Rakovník	rakovnik/velka-bukova
Cítoliby, okr. Louny	louny/citoliby
Obora, okr. Louny	louny/obora
Všetaty, okr. Rakovník	rakovnik/vsetaty
Zavidov, okr. Rakovník	rakovnik/zavidov
Zbečno, okr. Rakovník	rakovnik/zbecno
Černčice, okr. Louny	louny/cerncice
Nová Ves, okr. Louny	louny/nova-ves
Francova Lhota, okr. Vsetín	vsetin/francova-lhota
Halenkov, okr. Vsetín	vsetin/halenkov
Horní Bečva, okr. Vsetín	vsetin/horni-becva
Horní Lideč, okr. Vsetín	vsetin/horni-lidec
Hošťálková, okr. Vsetín	vsetin/hostalkova
Hovězí, okr. Vsetín	vsetin/hovezi
Huslenky, okr. Vsetín	vsetin/huslenky
Hutisko-Solanec, okr. Vsetín	vsetin/hutisko-solanec
Choryně, okr. Vsetín	vsetin/choryne
Jablůnka, okr. Vsetín	vsetin/jablunka
Jarcová, okr. Vsetín	vsetin/jarcova
Karolinka, okr. Vsetín	vsetin/karolinka
Kateřinice, okr. Vsetín	vsetin/katerinice
Kelč, okr. Vsetín	vsetin/kelc
Kladeruby, okr. Vsetín	vsetin/kladeruby
Žerotín, okr. Louny	louny/zerotin
Kunovice, okr. Vsetín	vsetin/kunovice
Lačnov, okr. Vsetín	vsetin/lacnov
Staňkovice, okr. Louny	louny/stankovice
Hruška, okr. Prostějov	prostejov/hruska
Pavlíkov, okr. Rakovník	rakovnik/pavlikov
České Budějovice, okr. České Budějovice	ceske-budejovice/ceske-budejovice
Leskovec, okr. Vsetín	vsetin/leskovec
Borek, okr. České Budějovice	ceske-budejovice/borek
Borovany, okr. České Budějovice	ceske-budejovice/borovany
Boršov nad Vltavou, okr. České Budějovice	ceske-budejovice/borsov-nad-vltavou
Lešná, okr. Vsetín	vsetin/lesna
Čejkovice, okr. České Budějovice	ceske-budejovice/cejkovice
Hamr na Jezeře, okr. Česká Lípa	ceska-lipa/hamr-na-jezere
Proseč pod Ještědem, okr. Liberec	liberec/prosec-pod-jestedem
Heřmanice, okr. Liberec	liberec/hermanice
Dívčice, okr. České Budějovice	ceske-budejovice/divcice
Lidečko, okr. Vsetín	vsetin/lidecko
Dolní Bukovsko, okr. České Budějovice	ceske-budejovice/dolni-bukovsko
Liptál, okr. Vsetín	vsetin/liptal
Doudleby, okr. České Budějovice	ceske-budejovice/doudleby
Loučka, okr. Vsetín	vsetin/loucka
Dříteň, okr. České Budějovice	ceske-budejovice/driten
Lužná, okr. Vsetín	vsetin/luzna
Dubné, okr. České Budějovice	ceske-budejovice/dubne
Dynín, okr. České Budějovice	ceske-budejovice/dynin
Malá Bystřice, okr. Vsetín	vsetin/mala-bystrice
Stráž nad Nisou, okr. Liberec	liberec/straz-nad-nisou
Hluboká nad Vltavou, okr. České Budějovice	ceske-budejovice/hluboka-nad-vltavou
Homole, okr. České Budějovice	ceske-budejovice/homole
Mikulůvka, okr. Vsetín	vsetin/mikuluvka
Horní Stropnice, okr. České Budějovice	ceske-budejovice/horni-stropnice
Hosín, okr. České Budějovice	ceske-budejovice/hosin
Čtveřín, okr. Liberec	liberec/ctverin
Hranice, okr. České Budějovice	ceske-budejovice/hranice
Hrdějovice, okr. České Budějovice	ceske-budejovice/hrdejovice
Nový Hrozenkov, okr. Vsetín	vsetin/novy-hrozenkov
Oznice, okr. Vsetín	vsetin/oznice
Radimovice, okr. Liberec	liberec/radimovice
Chrášťany, okr. České Budějovice	ceske-budejovice/chrastany
Žďárek, okr. Liberec	liberec/zdarek
Jankov, okr. České Budějovice	ceske-budejovice/jankov
Police, okr. Vsetín	vsetin/police
Jílovice, okr. České Budějovice	ceske-budejovice/jilovice
Bynovec, okr. Děčín	decin/bynovec
Pozděchov, okr. Vsetín	vsetin/pozdechov
Kamenný Újezd, okr. České Budějovice	ceske-budejovice/kamenny-ujezd
Prlov, okr. Vsetín	vsetin/prlov
Janov, okr. Děčín	decin/janov
Prostřední Bečva, okr. Vsetín	vsetin/prostredni-becva
Labská Stráň, okr. Děčín	decin/labska-stran
Vincencov, okr. Prostějov	prostejov/vincencov
Pržno, okr. Vsetín	vsetin/przno
Ledenice, okr. České Budějovice	ceske-budejovice/ledenice
Libín, okr. České Budějovice	ceske-budejovice/libin
Příštpo, okr. Třebíč	trebic/pristpo
Lipí, okr. České Budějovice	ceske-budejovice/lipi
Lišov, okr. České Budějovice	ceske-budejovice/lisov
Ratiboř, okr. Vsetín	vsetin/ratibor
Litvínovice, okr. České Budějovice	ceske-budejovice/litvinovice
Ločenice, okr. České Budějovice	ceske-budejovice/locenice
Mladošovice, okr. České Budějovice	ceske-budejovice/mladosovice
Nedabyle, okr. České Budějovice	ceske-budejovice/nedabyle
Bačkovice, okr. Třebíč	trebic/backovice
Rožnov pod Radhoštěm, okr. Vsetín	vsetin/roznov-pod-radhostem
Růžďka, okr. Vsetín	vsetin/ruzdka
Nové Hrady, okr. České Budějovice	ceske-budejovice/nove-hrady
Lhotice, okr. Třebíč	trebic/lhotice
Olešnice, okr. České Budějovice	ceske-budejovice/olesnice
Olešník, okr. České Budějovice	ceske-budejovice/olesnik
Seninka, okr. Vsetín	vsetin/seninka
Střelná, okr. Vsetín	vsetin/strelna
Střítež nad Bečvou, okr. Vsetín	vsetin/stritez-nad-becvou
Študlov, okr. Vsetín	vsetin/studlov
Valašská Bystřice, okr. Vsetín	vsetin/valasska-bystrice
Lovčovice, okr. Třebíč	trebic/lovcovice
Radošovice, okr. České Budějovice	ceske-budejovice/radosovice
Roudné, okr. České Budějovice	ceske-budejovice/roudne
Rudolfov, okr. České Budějovice	ceske-budejovice/rudolfov
Valašská Polanka, okr. Vsetín	vsetin/valasska-polanka
Římov, okr. České Budějovice	ceske-budejovice/rimov
Sedlec, okr. České Budějovice	ceske-budejovice/sedlec
Slavče, okr. České Budějovice	ceske-budejovice/slavce
Menhartice, okr. Třebíč	trebic/menhartice
Radotice, okr. Třebíč	trebic/radotice
Valašské Meziříčí, okr. Vsetín	vsetin/valasske-mezirici
Srubec, okr. České Budějovice	ceske-budejovice/srubec
Staré Hodějovice, okr. České Budějovice	ceske-budejovice/stare-hodejovice
Strážkovice, okr. České Budějovice	ceske-budejovice/strazkovice
Střížov, okr. České Budějovice	ceske-budejovice/strizov
Svatý Jan nad Malší, okr. České Budějovice	ceske-budejovice/svaty-jan-nad-malsi
Valašské Příkazy, okr. Vsetín	vsetin/valasske-prikazy
Ševětín, okr. České Budějovice	ceske-budejovice/sevetin
Štěpánovice, okr. České Budějovice	ceske-budejovice/stepanovice
Velká Lhota, okr. Vsetín	vsetin/velka-lhota
Temelín, okr. České Budějovice	ceske-budejovice/temelin
Velké Karlovice, okr. Vsetín	vsetin/velke-karlovice
Trhové Sviny, okr. České Budějovice	ceske-budejovice/trhove-sviny
Slavíkovice, okr. Třebíč	trebic/slavikovice
Vidče, okr. Vsetín	vsetin/vidce
