label	value
Vestec, okr. Praha-západ	praha-zapad/vestec
Vysoký Újezd, okr. Benešov	benesov/vysoky-ujezd
Horní Moštěnice, okr. Přerov	prerov/horni-mostenice
Dlouhá Lhota, okr. Příbram	pribram/dlouha-lhota
Zduchovice, okr. Příbram	pribram/zduchovice
Lešetice, okr. Příbram	pribram/lesetice
Velká Lečice, okr. Příbram	pribram/velka-lecice
Příčovy, okr. Příbram	pribram/pricovy
Kotenčice, okr. Příbram	pribram/kotencice
Občov, okr. Příbram	pribram/obcov
Hudčice, okr. Příbram	pribram/hudcice
Klokočná, okr. Praha-východ	praha-vychod/klokocna
Hrabůvka, okr. Přerov	prerov/hrabuvka
Zlatá, okr. Praha-východ	praha-vychod/zlata
Nová Ves, okr. Český Krumlov	cesky-krumlov/nova-ves
Horní Smržov, okr. Blansko	blansko/horni-smrzov
Roubanina, okr. Blansko	blansko/roubanina
Urbanice, okr. Hradec Králové	hradec-kralove/urbanice
Hradčany, okr. Přerov	prerov/hradcany
Hranice, okr. Přerov	prerov/hranice
Hustopeče nad Bečvou, okr. Přerov	prerov/hustopece-nad-becvou
Jindřichov, okr. Přerov	prerov/jindrichov
Skalka u Doks, okr. Česká Lípa	ceska-lipa/skalka-u-doks
Klokočí, okr. Přerov	prerov/klokoci
Kojetín, okr. Přerov	prerov/kojetin
Kokory, okr. Přerov	prerov/kokory
Luka, okr. Česká Lípa	ceska-lipa/luka
Ždírec, okr. Česká Lípa	ceska-lipa/zdirec
Pertoltice pod Ralskem, okr. Česká Lípa	ceska-lipa/pertoltice-pod-ralskem
Lazníčky, okr. Přerov	prerov/laznicky
Lazníky, okr. Přerov	prerov/lazniky
Lhota, okr. Přerov	prerov/lhota
Lhotka, okr. Přerov	prerov/lhotka
Lipník nad Bečvou, okr. Přerov	prerov/lipnik-nad-becvou
Lipová, okr. Přerov	prerov/lipova
Líšná, okr. Přerov	prerov/lisna
Lobodice, okr. Přerov	prerov/lobodice
Malhotice, okr. Přerov	prerov/malhotice
Milenov, okr. Přerov	prerov/milenov
Milotice nad Bečvou, okr. Přerov	prerov/milotice-nad-becvou
Nelešovice, okr. Přerov	prerov/nelesovice
Oldřichov, okr. Přerov	prerov/oldrichov
Opatovice, okr. Přerov	prerov/opatovice
Oprostovice, okr. Přerov	prerov/oprostovice
Osek nad Bečvou, okr. Přerov	prerov/osek-nad-becvou
Paršovice, okr. Přerov	prerov/parsovice
Partutovice, okr. Přerov	prerov/partutovice
Pavlovice u Přerova, okr. Přerov	prerov/pavlovice-u-prerova
Podolí, okr. Přerov	prerov/podoli
Polkovice, okr. Přerov	prerov/polkovice
Polom, okr. Přerov	prerov/polom
Potštát, okr. Přerov	prerov/potstat
Prosenice, okr. Přerov	prerov/prosenice
Provodovice, okr. Přerov	prerov/provodovice
Přestavlky, okr. Přerov	prerov/prestavlky
Radíkov, okr. Přerov	prerov/radikov
Radkova Lhota, okr. Přerov	prerov/radkova-lhota
Radkovy, okr. Přerov	prerov/radkovy
Radotín, okr. Přerov	prerov/radotin
Radslavice, okr. Přerov	prerov/radslavice
Radvanice, okr. Přerov	prerov/radvanice
Rakov, okr. Přerov	prerov/rakov
Rokytnice, okr. Přerov	prerov/rokytnice
Rouské, okr. Přerov	prerov/rouske
Říkovice, okr. Přerov	prerov/rikovice
Skalička, okr. Přerov	prerov/skalicka
Sobíšky, okr. Přerov	prerov/sobisky
Soběchleby, okr. Přerov	prerov/sobechleby
Stará Ves, okr. Přerov	prerov/stara-ves
Střítež nad Ludinou, okr. Přerov	prerov/stritez-nad-ludinou
Sušice, okr. Přerov	prerov/susice
Teplice nad Bečvou, okr. Přerov	prerov/teplice-nad-becvou
Tovačov, okr. Přerov	prerov/tovacov
Troubky, okr. Přerov	prerov/troubky
Tučín, okr. Přerov	prerov/tucin
Ústí, okr. Přerov	prerov/usti
Veselíčko, okr. Přerov	prerov/veselicko
Všechovice, okr. Přerov	prerov/vsechovice
Zámrsky, okr. Přerov	prerov/zamrsky
Žákovice, okr. Přerov	prerov/zakovice
Želatovice, okr. Přerov	prerov/zelatovice
Šumperk, okr. Šumperk	sumperk/sumperk
Bělá pod Pradědem, okr. Jeseník	jesenik/bela-pod-pradedem
Bernartice, okr. Jeseník	jesenik/bernartice
Bílá Voda, okr. Jeseník	jesenik/bila-voda
Bludov, okr. Šumperk	sumperk/bludov
Bohdíkov, okr. Šumperk	sumperk/bohdikov
Bohuslavice, okr. Šumperk	sumperk/bohuslavice
Bohutín, okr. Šumperk	sumperk/bohutin
Branná, okr. Šumperk	sumperk/branna
Rohozec, okr. Kutná Hora	kutna-hora/rohozec
Podveky, okr. Kutná Hora	kutna-hora/podveky
Benešov, okr. Benešov	benesov/benesov
Bystřice, okr. Benešov	benesov/bystrice
Čakov, okr. Benešov	benesov/cakov
Čechtice, okr. Benešov	benesov/cechtice
Čerčany, okr. Benešov	benesov/cercany
Čejkovice, okr. Kutná Hora	kutna-hora/cejkovice
Červený Újezd, okr. Benešov	benesov/cerveny-ujezd
Český Šternberk, okr. Benešov	benesov/cesky-sternberk
Dobrovítov, okr. Kutná Hora	kutna-hora/dobrovitov
Čtyřkoly, okr. Benešov	benesov/ctyrkoly
Medonosy, okr. Mělník	melnik/medonosy
Tupadly, okr. Mělník	melnik/tupadly
Sedlec, okr. Mladá Boleslav	mlada-boleslav/sedlec
Rokytá, okr. Mladá Boleslav	mlada-boleslav/rokyta
Josefův Důl, okr. Mladá Boleslav	mlada-boleslav/josefuv-dul
Divišov, okr. Benešov	benesov/divisov
Kostomlátky, okr. Nymburk	nymburk/kostomlatky
Dolní Kralovice, okr. Benešov	benesov/dolni-kralovice
Pětihosty, okr. Praha-východ	praha-vychod/petihosty
Těchařovice, okr. Příbram	pribram/techarovice
Bezděkov pod Třemšínem, okr. Příbram	pribram/bezdekov-pod-tremsinem
Koupě, okr. Příbram	pribram/koupe
Velká Chmelištná, okr. Rakovník	rakovnik/velka-chmelistna
Heřmaničky, okr. Benešov	benesov/hermanicky
Drahouš, okr. Rakovník	rakovnik/drahous
Kvítkovice, okr. České Budějovice	ceske-budejovice/kvitkovice
Hulice, okr. Benešov	benesov/hulice
Hvězdonice, okr. Benešov	benesov/hvezdonice
Dívčí Kopy, okr. Jindřichův Hradec	jindrichuv-hradec/divci-kopy
Žďár, okr. Jindřichův Hradec	jindrichuv-hradec/zdar
Chlum, okr. Benešov	benesov/chlum
Chmelná, okr. Benešov	benesov/chmelna
Chocerady, okr. Benešov	benesov/chocerady
Chotýšany, okr. Benešov	benesov/chotysany
Čelistná, okr. Pelhřimov	pelhrimov/celistna
Mezná, okr. Pelhřimov	pelhrimov/mezna
Jankov, okr. Benešov	benesov/jankov
Javorník, okr. Benešov	benesov/javornik
Důl, okr. Pelhřimov	pelhrimov/dul
Okrouhlá, okr. Písek	pisek/okrouhla
Stehlovice, okr. Písek	pisek/stehlovice
Nicov, okr. Prachatice	prachatice/nicov
Keblov, okr. Benešov	benesov/keblov
Vrbice, okr. Prachatice	prachatice/vrbice
Žárovná, okr. Prachatice	prachatice/zarovna
Kondrac, okr. Benešov	benesov/kondrac
Kozmice, okr. Benešov	benesov/kozmice
Krhanice, okr. Benešov	benesov/krhanice
Buzice, okr. Strakonice	strakonice/buzice
Krňany, okr. Benešov	benesov/krnany
Chlum, okr. Strakonice	strakonice/chlum
Křečovice, okr. Benešov	benesov/krecovice
Křivsoudov, okr. Benešov	benesov/krivsoudov
Březí, okr. Strakonice	strakonice/brezi
Kuňovice, okr. Benešov	benesov/kunovice
