OKRES	TYPZASTUP	DRUHZASTUP	KODZASTUP	NAZEVZAST	OBVODY	COBVODU	MANDATY	POCOBYV	key
5302	1	3	555134	Pardubice	0	1	39	88260	pardubice
5302	2	5	574716	Pardubice I	0	1	15	21272	pardubice-i
5302	2	5	555126	Pardubice II	0	1	15	19829	pardubice-ii
5302	2	5	557072	Pardubice V	0	1	15	16606	pardubice-v
5302	2	5	557064	Pardubice III	0	1	15	16244	pardubice-iii
5302	1	2	575500	Přelouč	0	1	21	8467	prelouc
5302	1	2	574988	Holice	0	1	21	6298	holice
5302	2	5	555118	Pardubice VII	0	1	15	5655	pardubice-vii
5302	2	5	555096	Pardubice IV	0	1	15	4751	pardubice-iv
5302	2	5	555100	Pardubice VI	0	1	15	4480	pardubice-vi
5302	1	2	575071	Chvaletice	0	1	17	3319	chvaletice
5302	1	2	574767	Lázně Bohdaneč	0	1	15	3289	lazne-bohdanec
5302	1	2	575640	Sezemice	0	1	15	3231	sezemice
5302	1	1	575429	Opatovice nad Labem	0	1	15	2218	opatovice-nad-labem
5302	1	2	574899	Dašice	0	1	15	2021	dasice
5302	1	1	574911	Dolní Roveň	0	1	15	1941	dolni-roven
5302	1	1	574996	Horní Jelení	0	1	15	1864	horni-jeleni
5302	1	1	575399	Moravany	0	1	15	1772	moravany
5302	1	1	575593	Rybitví	0	1	14	1372	rybitvi
5302	1	1	575607	Řečany nad Labem	0	1	9	1347	recany-nad-labem
5302	1	1	575704	Staré Hradiště	0	1	15	1275	stare-hradiste
5302	1	1	574848	Býšť	0	1	15	1266	byst
5302	1	1	575682	Srch	0	1	11	1069	srch
5302	1	1	574856	Čeperka	0	1	15	991	ceperka
5302	1	1	574805	Břehy	0	1	9	968	brehy
5302	1	1	575445	Ostřetín	0	1	15	947	ostretin
5302	1	1	575054	Choltice	0	1	11	943	choltice
5302	1	1	575437	Ostřešany	0	1	15	921	ostresany
5302	1	1	575372	Mikulovice	0	1	9	869	mikulovice
5302	1	1	575011	Horní Ředice	0	1	15	830	horni-redice
5302	1	1	576051	Živanice	0	1	7	818	zivanice
5302	1	1	574929	Dolní Ředice	0	1	7	794	dolni-redice
5302	1	1	575577	Rokytno	0	1	15	754	rokytno
5302	1	1	575089	Chvojenec	0	1	7	654	chvojenec
5302	1	1	576026	Zdechovice	0	1	9	639	zdechovice
5302	1	1	575721	Staré Ždánice	0	1	9	625	stare-zdanice
5302	1	1	575178	Kladruby nad Labem	0	1	15	617	kladruby-nad-labem
5302	1	1	553719	Srnojedy	0	1	9	598	srnojedy
5302	1	1	575534	Ráby	0	1	9	587	raby
5302	1	1	575623	Semín	0	1	9	536	semin
5302	1	1	575232	Kostěnice	0	1	15	495	kostenice
5302	1	1	575551	Rohovládova Bělá	0	1	7	457	rohovladova-bela
5302	1	1	575658	Slepotice	0	1	7	447	slepotice
5302	1	1	575194	Kojice	0	1	5	417	kojice
5302	1	1	575305	Libišany	0	1	7	412	libisany
5302	1	1	575925	Valy	0	1	7	411	valy
5302	1	1	575739	Starý Mateřov	0	1	5	408	stary-materov
5302	1	1	574864	Čepí	0	1	7	407	cepi
5302	1	1	574830	Bukovka	0	1	7	401	bukovka
5302	1	1	575313	Lipoltice	0	1	7	380	lipoltice
5302	1	1	575771	Svinčany	0	1	9	378	svincany
5302	1	1	576000	Vysoké Chvojno	0	1	7	356	vysoke-chvojno
5302	1	1	575941	Veliny	0	1	7	347	veliny
5302	1	1	574902	Dolany	0	1	9	337	dolany
5302	1	1	575143	Jezbořice	0	1	7	323	jezborice
5302	1	1	574198	Spojil	0	1	9	318	spojil
5302	1	1	575968	Veselí	0	1	9	317	veseli
5302	1	1	575992	Voleč	0	1	7	306	volec
5302	1	1	574953	Dříteč	0	1	7	303	dritec
5302	1	1	575763	Strašov	0	1	7	303	strasov
5302	1	1	575984	Vlčí Habřina	0	1	7	297	vlci-habrina
5302	1	1	575712	Staré Jesenčany	0	1	7	295	stare-jesencany
5302	1	1	575101	Jankovice	0	1	7	286	jankovice
5302	1	1	575062	Choteč	0	1	7	283	chotec
5302	1	1	575879	Uhersko	0	1	7	281	uhersko
5302	1	1	575666	Sopřeč	0	1	7	278	soprec
5302	1	1	572896	Černá u Bohdanče	0	1	7	277	cerna-u-bohdance
5302	1	1	575844	Turkovice	0	1	7	261	turkovice
5302	1	1	573515	Kunětice	0	1	5	258	kunetice
5302	1	1	574741	Bezděkov	0	1	7	251	bezdekov
5302	1	1	574961	Hlavečník	0	1	9	249	hlavecnik
5302	1	1	575569	Rohoznice	0	1	7	246	rohoznice
5302	1	1	572861	Křičeň	0	1	9	240	kricen
5302	1	1	574783	Borek	0	1	7	238	borek
5302	1	1	575887	Úhřetická Lhota	0	1	7	238	uhreticka-lhota
5302	2	5	575020	Pardubice VIII	0	1	9	237	pardubice-viii
5302	1	1	574791	Brloh	0	1	7	235	brloh
5302	1	1	575828	Trusnov	0	1	7	227	trusnov
5302	1	1	575755	Stojice	0	1	7	225	stojice
5302	1	1	575615	Selmice	0	1	7	224	selmice
5302	1	1	575135	Jeníkovice	0	1	7	223	jenikovice
5302	1	1	575119	Jaroslav	0	1	5	218	jaroslav
5302	1	1	575461	Poběžovice u Holic	0	1	7	212	pobezovice-u-holic
5302	1	1	576018	Vyšehněvice	0	1	7	211	vysehnevice
5302	1	1	572977	Dubany	0	1	7	208	dubany
