OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
2110	539244	Hostivice	1	6	47	47	Komunistická strana Čech a Moravy	KSČM	KSČM	1	047	3133	7.62	1
2110	539244	Hostivice	1	7	7	7	Česká strana sociálně demokratická Hostivice	ČSSD Hostivice	ČSSD	1	007	10916	26.57	5
2110	539244	Hostivice	1	8	721	721	TOP 09	TOP 09	TOP 09	1	721	7180	17.47	3
2110	539252	Hradištko	1	1	901	90	HRADIŠTKO - MODERNÍ EVROPSKÁ OBEC	HRAD.- MODERNÍ EVROPSKÁ OBEC	SNK	1	080	815	9.58	1
2110	539252	Hradištko	1	2	721	721	TOP 09	TOP 09	TOP 09	1	721	1154	13.56	1
2110	539252	Hradištko	1	3	902	90	Sdružení nezávislých kandidátů Rozvoj obce Hradištko	SNK Rozvoj obce Hradištko	SNK	1	080	2039	23.97	3
2110	539252	Hradištko	1	4	166	166	"""STAROSTOVÉ A NEZÁVISLÍ"""	"""STAROSTOVÉ A NEZÁVISLÍ"""	"""STAN"""	1	166	1543	18.14	2
2110	539252	Hradištko	1	5	903	90	HRADIŠTKO 2010	HRADIŠTKO 2010	SNK	1	080	2955	34.74	4
2110	539261	Hvozdnice	1	1	902	90	NEZÁVISLÍ II.	NEZÁVISLÍ II.	SNK	1	080	161	41.75	0
2110	539261	Hvozdnice	1	2	901	90	NEZÁVISLÍ	NEZÁVISLÍ	SNK	1	080	1574	90.72	9
2110	539287	Choteč	1	1	901	90	"""Náš domov"""	"""Náš domov"""	SNK	1	080	564	100	7
2110	539295	Chrášťany	1	1	902	90	Sdružení nezávislých kandidátů č. 2	SNK č. 2	SNK	1	080	260	16.12	0
2110	539295	Chrášťany	1	2	901	90	Sdružení nezávislých kandidátů č. 1	SNK č. 1	SNK	1	080	1998	88.48	7
2110	539309	Chýně	1	1	53	53	Občanská demokratická strana (ODS)	Občanská demokratická strana	ODS	1	053	955	15.92	1
2110	539309	Chýně	1	2	901	90	"""CHÝNĚ PRO VŠECHNY"""	"""CHÝNĚ PRO VŠECHNY"""	SNK	1	080	1325	22.09	2
2110	539309	Chýně	1	3	903	90	ARBOR - občanské sdružení Chýně	ARBOR - občan. sdružení Chýně	SNK	1	080	686	11.43	1
2110	539309	Chýně	1	4	902	90	Chýně 2010	Chýně 2010	SNK	1	080	1035	17.25	2
2110	539309	Chýně	1	5	659	659	"TOP 09 a ""STAROSTOVÉ A NEZÁVISLÍ"""	"TOP 09 a ""STAROST. A NEZÁVIS."""		2	166,721	1510	25.17	3
2110	539309	Chýně	1	6	47	47	Komunistická strana Čech a Moravy	KSČM	KSČM	1	047	487	8.11	0
2110	539317	Jeneč	1	1	47	47	Komunistická strana Čech a Moravy	KSČM	KSČM	1	047	1325	36.38	3
2110	539317	Jeneč	1	2	53	53	Občanská demokratická strana (ODS)	Občanská demokratická strana	ODS	1	053	2317	63.61	6
2110	539325	Jesenice	1	1	389	389	Občanská demokratická strana (ODS) a nezávislí kandidáti	ODS a NK		2	053,080	6448	13.09	3
2110	539325	Jesenice	1	2	902	90	Rozumný rozvoj	Rozumný rozvoj	SNK	1	080	17818	36.19	8
2110	539325	Jesenice	1	3	721	721	TOP 09	TOP 09	TOP 09	1	721	7204	14.63	3
2110	539325	Jesenice	1	4	901	90	Naše obce	Naše obce	SNK	1	080	17013	34.55	7
2110	539325	Jesenice	1	5	7	7	Česká strana sociálně demokratická (ČSSD)	ČSSD	ČSSD	1	007	751	4.57	0
2110	539333	Jílové u Prahy	1	1	166	166	"""STAROSTOVÉ A NEZÁVISLÍ"""	"""STAROSTOVÉ A NEZÁVISLÍ"""	"""STAN"""	1	166	3541	15.88	3
2110	539333	Jílové u Prahy	1	2	113	113	Volba pro město Jílové	Volba pro město Jílové	VPM	1	113	4609	20.67	3
2110	539333	Jílové u Prahy	1	3	901	90	Sdružení nezávislých kandidátů NEZÁVISLÍ JÍLOVSKA	SNK NEZÁVISLÍ JÍLOVSKA	SNK	1	080	7042	31.58	5
2110	539333	Jílové u Prahy	1	4	1	1	KDU-ČSL- Křesťanská a demokratická unie-Československá strana lidová	KDU-ČSL	KDU-ČSL	1	001	227	2.54	0
2110	539333	Jílové u Prahy	1	5	7	7	Česká strana sociálně demokratická (ČSSD)	ČSSD	ČSSD	1	007	2491	11.97	2
2110	539333	Jílové u Prahy	1	6	5	5	Strana zelených	Strana zelených	SZ	1	005	2124	9.52	1
2110	539333	Jílové u Prahy	1	7	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	2262	10.14	1
2110	539341	Jíloviště	1	1	901	90	HASIČI A OBČANÉ JÍLOVIŠTĚ	HASIČI A OBČANÉ JÍLOVIŠTĚ	SNK	1	080	610	20.83	2
2110	539341	Jíloviště	1	2	480	480	Sdružení nezávislých kandidátů a TOP 09	Sdružení NK a TOP 09		2	080,721	440	15.02	1
2110	539341	Jíloviště	1	3	470	470	SDRUŽENÍ PRO JÍLOVIŠTĚ	SDRUŽENÍ PRO JÍLOVIŠTĚ		2	080,166	986	33.67	3
2110	539341	Jíloviště	1	4	902	90	Sdružení nezávislých kandidátů - Sportovci pro rozvoj Jíloviště	Sportovci pro rozvoj Jíloviště	SNK	1	080	892	30.46	3
2110	539350	Jinočany	1	1	7	7	Česká strana sociálně demokratická (ČSSD)	ČSSD	ČSSD	1	007	1290	31.64	3
2110	539350	Jinočany	1	2	901	90	Sdružení nezávislých - Jinočany 2010 - 2014	Sdr.nez.-Jinočany 2010 - 2014	SNK	1	080	2786	68.35	6
2110	539368	Kamenný Přívoz	1	1	901	90	SÁZAVA 2010	SÁZAVA 2010	SNK	1	080	4485	62.56	10
2110	539368	Kamenný Přívoz	1	2	47	47	Komunistická strana Čech a Moravy	KSČM	KSČM	1	047	226	23.64	0
2110	539368	Kamenný Přívoz	1	3	902	90	Nezávislí 2010	Nezávislí 2010	SNK	1	080	2457	34.27	5
2110	539384	Kněževes	1	1	901	90	Sdružení nezávislých kandidátů I.	Sdružení nezáv. kandidátů I.	SNK	1	080	2696	66.88	10
2110	539384	Kněževes	1	2	53	53	Občanská demokratická strana (ODS)	Občanská demokratická strana	ODS	1	053	1335	33.11	5
2110	539392	Kosoř	1	1	901	90	"""Pracovitost, vstřícnost, otevřenost"""	"""Pracovitost, vstřícnost"""	SNK	1	080	1598	100	9
2110	539406	Lety	1	1	901	90	LETY SOBĚ	Sdruž.nezáv.kand.	SNK	1	080	2182	66.22	5
2110	539406	Lety	1	2	389	389	Sdružení nezávislých kandidátů a ODS	Sdružení ODS, NK		2	053,080	1113	33.77	2
2110	539414	Libčice nad Vltavou	1	1	901	90	"sdružení nezávislých kandidátů ""Liběhrad 2010"""	"SNK ""Liběhrad 2010"""	SNK	1	080	10016	51.51	8
2110	539414	Libčice nad Vltavou	1	2	721	721	TOP 09	TOP 09	TOP 09	1	721	3940	20.26	3
2110	539414	Libčice nad Vltavou	1	3	113	113	Volba pro město Libčice nad Vltavou	Volba pro město Libčice n.Vlt.	VPM	1	113	663	5.11	0
2110	539414	Libčice nad Vltavou	1	4	389	389	Sdružení ODS a nezávislých kandidátů	Sdružení ODS, NK		2	053,080	4825	24.81	4
2110	539422	Libeř	1	1	901	90	Sdružení nezávislých kandidátů Libeř - Libeň	SNK Libeř-Libeň	SNK	1	080	2950	72.57	7
2110	539422	Libeř	1	2	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	1115	27.42	2
2110	539457	Líšnice	1	1	902	90	SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - LOS	SDRUŽENÍ NEZÁVISL. KAND. - LOS	SNK	1	080	269	25.32	1
2110	539457	Líšnice	1	2	901	90	VOLBA PRO LÍŠNICI	VOLBA PRO LÍŠNICI	SNK	1	080	1219	65.57	5
2110	539457	Líšnice	1	3	802	80	NEZÁVISLÝ KANDIDÁT PRO STAROU LÍŠNICI	NK PRO STAROU LÍŠNICI	NK	1	080	73	27.48	0
2110	539457	Líšnice	1	4	1	1	Křesťanská a demokratická unie - Československá strana lidová Líšnice	KDU-ČSL Líšnice	KDU-ČSL	1	001	208	19.58	1
2110	539457	Líšnice	1	5	801	80	NEZÁVISLÝ KANDIDÁT MIROSLAV ŽDÁNSKÝ	NK MIROSLAV ŽDÁNSKÝ	NK	1	080	90	33.88	0
2110	539490	Měchenice	1	1	901	90	Nezávislí.	Nezávislí.	SNK	1	080	1942	58.79	5
2110	539490	Měchenice	1	2	902	90	MĚCHENICE 2010	MĚCHENICE 2010	SNK	1	080	1361	46.35	4
2110	539503	Ohrobec	1	1	902	90	ZMĚNA: Pro lidi- s lidmi	ZMĚNA: Pro lidi- s lidmi	SNK	1	080	1911	44.01	4
2110	539503	Ohrobec	1	2	901	90	Sdružení nezávislých kandidátů	Sdružení nezávislých kandidátů	SNK	1	080	2431	55.98	5
2110	539511	Okrouhlo	1	1	901	90	Sdružení NK č. 1	Sdružení NK č. 1	SNK	1	080	1304	100	9
2110	539520	Ořech	1	1	902	90	PRO OŘECH	PRO OŘECH	SNK	1	080	440	13.44	1
2110	539520	Ořech	1	2	901	90	Za další připravený perspektivní rozvoj Ořecha	Za dal.připr.persp.rozv.Ořecha	SNK	1	080	2191	66.94	5
2110	539520	Ořech	1	3	903	90	OŘEŠSKÁ CESTA	OŘEŠSKÁ CESTA	SNK	1	080	642	19.61	1
2110	539546	Petrov	1	1	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	937	50.43	4
2110	539546	Petrov	1	2	901	90	Nezávislé sdružení Petrov	Nezávislé sdružení Petrov	SNK	1	080	825	44.4	3
2110	539546	Petrov	1	3	801	80	nezávislý kandidát	NK	NK	1	080	96	36.16	0
2110	539562	Pohoří	1	1	901	90	Sdružení nezávislých kandidátů Pohoří-Chotouň-Skalsko	SNK Pohoří-Chotouň-Skalsko	SNK	1	080	476	52.94	4
2110	539562	Pohoří	1	2	902	90	Sdružení nezávislých kandidátů obce Pohoří	SNK obce Pohoří	SNK	1	080	423	47.05	3
2110	539571	Průhonice	1	1	724	724	Strana Práv Občanů ZEMANOVCI	Strana Práv Občanů ZEMANOVCI	SPOZ	1	724	1182	15.33	1
2110	539571	Průhonice	1	2	901	90	Sdružení nezávislých kandidátů Průhonice, Hole, Rozkoš 2010	SNK Průhonice, Hole, Rozkoš	SNK	1	080	6908	81.47	10
2110	539571	Průhonice	1	3	47	47	KSČM	KSČM	KSČM	1	047	389	16.82	0
2110	539597	Psáry	1	1	902	90	OBEC PRO ZMĚNU	OBEC PRO ZMĚNU	SNK	1	080	5635	28.4	5
2110	539597	Psáry	1	2	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	192	7.25	0
2110	539597	Psáry	1	3	901	90	Občané	Občané	SNK	1	080	2696	13.59	2
2110	539597	Psáry	1	4	721	721	TOP 09	TOP 09	TOP 09	1	721	4298	21.66	3
2110	539597	Psáry	1	5	364	364	Obec pro občany	Obec pro občany		2	005,080	2637	13.29	2
2110	539597	Psáry	1	6	389	389	Občanská demokratická strana (ODS) s podporou nezávislých kandidátů	ODS s podporou NK		2	053,080	4380	22.07	3
2110	539627	Roztoky	1	1	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	3822	6.57	1
2110	539627	Roztoky	1	2	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	9050	15.56	4
2110	539627	Roztoky	1	3	411	411	Volba pro město	Volba pro město		2	080,113	4401	7.57	1
2110	539627	Roztoky	1	4	901	90	D.O.S.T.	D.O.S.T.	SNK	1	080	11004	18.93	4
2110	539627	Roztoky	1	5	371	371	Česká strana sociálně demokratická a nezávislí	Sdružení ČSSD, NK		2	007,080	2320	6.44	1
2110	539627	Roztoky	1	6	902	90	SAKURA	SAKURA	SNK	1	080	8350	14.36	3
2110	539627	Roztoky	1	7	903	90	NETŘESK	NETŘESK	SNK	1	080	6555	11.27	2
2110	539627	Roztoky	1	8	721	721	TOP 09	TOP 09	TOP 09	1	721	10291	17.7	4
2110	539627	Roztoky	1	9	364	364	Zelená pro Roztoky	Zelená pro Roztoky		2	005,080	2332	8.42	1
2110	539643	Řevnice	1	1	47	47	Komunistická strana Čech a Moravy	KSČM	KSČM	1	047	603	4.32	0
2110	539643	Řevnice	1	2	470	470	Pro Řevnice	Pro Řevnice		2	080,166	5228	24.98	4
2110	539643	Řevnice	1	3	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	4425	21.14	3
2110	539643	Řevnice	1	4	449	449	"""Naše Řevnice"""	"""Naše Řevnice"""		2	080,129	3023	14.44	2
2110	539643	Řevnice	1	5	721	721	TOP 09	TOP 09	TOP 09	1	721	4065	19.42	3
2110	539643	Řevnice	1	6	901	90	Občané Řevnic pro změnu	Občané Řevnic pro změnu	SNK	1	080	3583	17.12	3
2110	539651	Řitka	1	1	901	90	Řitka 2010	Řitka 2010	SNK	1	080	1357	35.79	3
2110	539651	Řitka	1	2	902	90	NOVÁ VOLBA 2010	NOVÁ VOLBA 2010	SNK	1	080	2211	58.32	6
2110	539651	Řitka	1	3	801	80	Nezávislý kandidát Ing. Michaela Tománková	NK Ing. Michaela Tománková	NK	1	080	223	52.94	0
2110	539660	Slapy	1	1	902	90	Sdružení nezávislých kandidátů za rozvoj obce	SNK za rozvoj obce	SNK	1	080	1492	40.25	4
2110	539660	Slapy	1	2	901	90	Slapy a Přestavlky	Slapy a Přestavlky	SNK	1	080	2214	59.74	7
2110	539686	Statenice	1	1	902	90	SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ	SDRUŽ.NEZ.KAND.	SNK	1	080	476	25.61	1
2110	539686	Statenice	1	2	721	721	TOP 09	TOP 09	TOP 09	1	721	1256	30.04	3
2110	539686	Statenice	1	3	801	80	JK 2010	JK 2010	NK	1	080	116	24.97	0
2110	539686	Statenice	1	4	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	1259	30.11	3
2110	539686	Statenice	1	5	901	90	Občané pro lepší životní podmínky	Občané pro lepší živ.podmínky	SNK	1	080	961	22.98	2
2110	539686	Statenice	1	6	802	80	JUDr. JITKA LENKOVÁ	JUDr. JITKA LENKOVÁ	NK	1	080	113	24.32	0
2110	539708	Středokluky	1	1	901	90	Sdružení nezávislých kandidátů obce Středokluky	SNK obce Středokluky	SNK	1	080	1632	100	9
2110	539732	Štěchovice	1	1	901	90	"Sdružení nezávislých kandidátů ""Štěchovice - Třebenice - Masečín"""	"SNK ""Štěch. - Třeb. - Masečín"""	SNK	1	080	2719	23.24	4
2110	539732	Štěchovice	1	2	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	2516	21.5	3
2110	539732	Štěchovice	1	3	7	7	Česká strana sociálně demokratická	ČSSD	ČSSD	1	007	2462	21.04	3
2110	539732	Štěchovice	1	4	902	90	Sdružení nezávislých kandidátů - S.O.S. (slušnost, odpovědnost, spolehlivost)	SNK - S.O.S.	SNK	1	080	3718	31.78	5
2110	539732	Štěchovice	1	5	47	47	KOMUNISTICKÁ STRANA ČECH A MORAVY	KSČM	KSČM	1	047	283	4.53	0
2110	539759	Třebotov	1	1	903	90	Pro Třebotov a Solopisky	Pro Třebotov a Solopisky	SNK	1	080	1695	34.53	3
2110	539759	Třebotov	1	2	901	90	Hasiči Třebotov	Hasiči Třebotov	SNK	1	080	1109	22.59	2
2110	539759	Třebotov	1	3	902	90	KLOUZAČKA	KLOUZAČKA	SNK	1	080	1020	20.78	2
2110	539759	Třebotov	1	4	904	90	ROZVOJ INFRASTRUKTURY OBCE (včetně úpravy mateřské školy)	ROZVOJ INFRASTRUKTURY OBCE	SNK	1	080	1084	22.08	2
2110	539767	Tuchoměřice	1	1	901	90	"""ZA ROZVOJ OBCE"""	"""ZA ROZVOJ OBCE"""	SNK	1	080	3910	69.46	6
2110	539767	Tuchoměřice	1	2	53	53	Občanská demokratická strana (ODS)	Občanská demokratická strana	ODS	1	053	1719	30.53	3
2110	539775	Tursko	1	1	903	90	PRO TURSKO	PRO TURSKO	SNK	1	080	505	15.4	1
2110	539775	Tursko	1	2	901	90	Sdružení nezávislých kandidátů I.	Sdruž.nezáv.kand. I.	SNK	1	080	2289	69.82	7
2110	539775	Tursko	1	3	902	90	Sdružení nezávislých kandidátů II.	Sdruž.nezáv.kand. II.	SNK	1	080	484	22.14	1
2110	539805	Únětice	1	1	901	90	Náš Holý vrch	Náš Holý vrch	SNK	1	080	947	49.89	3
2110	539805	Únětice	1	2	470	470	Jsme tu doma	Jsme tu doma		2	080,166	951	50.1	4
2110	539813	Velké Přílepy	1	1	901	90	"""Naše Velké Přílepy o.s."""	"""Naše Velké Přílepy o.s."""	SNK	1	080	2103	24.37	2
2110	539813	Velké Přílepy	1	2	470	470	TRADICE-BUDOUCNOST	TRADICE-BUDOUCNOST		2	080,166	3563	41.3	4
2110	539813	Velké Přílepy	1	3	902	90	PRO Přílepy	PRO Přílepy	SNK	1	080	2961	34.32	3
2110	539830	Vonoklasy	1	1	902	90	CESTA	CESTA	SNK	1	080	293	15.38	1
2110	539830	Vonoklasy	1	2	901	90	NEZÁVISLÍ PRO ROZVOJ OBCE	NEZÁVISLÍ PRO ROZVOJ OBCE	SNK	1	080	1611	84.61	6
2110	539848	Vrané nad Vltavou	1	1	721	721	TOP 09	TOP 09	TOP 09	1	721	1927	13.88	2
2110	539848	Vrané nad Vltavou	1	2	902	90	SNK - ZÁVISLÍ na občanech	SNK - ZÁVISLÍ na občanech	SNK	1	080	4145	29.86	4
2110	539848	Vrané nad Vltavou	1	3	901	90	"""NEZÁVISLÍ 2010"""	"""NEZÁVISLÍ 2010"""	SNK	1	080	7805	56.24	9
2110	539856	Všenory	1	1	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	1093	17.37	1
2110	539856	Všenory	1	2	364	364	Zelené Všenory	Zelené Všenory		2	005,080	789	14.1	1
2110	539856	Všenory	1	3	901	90	Perspektiva pro Všenory	Perspektiva pro Všenory	SNK	1	080	1492	23.71	2
2110	539856	Všenory	1	4	470	470	Hnutí pro Všenory	Hnutí pro Všenory		2	080,166	2917	46.36	5
2110	539872	Zbuzany	1	1	901	90	Sdružení nezávislých kandidátů obce Zbuzany	SNK obce Zbuzany	SNK	1	080	1622	100	7
2110	539881	Zlatníky-Hodkovice	1	1	902	90	"""Pro šťastné děti, radostnou rodinu a rozvoj naší vesničky"""	"""Pro šťastné děti..."""	SNK	1	080	2145	70.07	5
2110	539881	Zlatníky-Hodkovice	1	2	901	90	Sportovci za rozvoj a prosperitu obce Zlatníky-Hodkovice	Sportovci za rozvoj a prosp.	SNK	1	080	885	33.73	2
2110	539881	Zlatníky-Hodkovice	1	3	903	90	Sbor dobrovolných hasičů Zlatníky	Sbor dobrovolných hasičů	SNK	1	080	861	39.38	2
2110	539881	Zlatníky-Hodkovice	1	4	904	90	Sbor dobrovolných hasičů Hodkovice	Sbor dobrovolných hasičů Hod.	SNK	1	080	919	26.27	2
2110	539902	Zvole	1	1	53	53	Občanská demokratická strana (ODS)	Občanská demokratická strana	ODS	1	053	6425	65.99	10
2110	539902	Zvole	1	2	901	90	Pro občany Zvole	Pro občany Zvole	SNK	1	080	3311	34	5
2110	540048	Buš	1	1	901	90	TRADIČNÍ BUŠ	TRADIČNÍ BUŠ	SNK	1	080	852	100	9
2110	540765	Mníšek pod Brdy	1	1	389	389	Občanská demokratická strana a nezávislí kandidáti	ODS a nezávislí kandidáti		2	053,080	2606	9.9	1
2110	540765	Mníšek pod Brdy	1	2	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	2019	7.67	1
2110	540765	Mníšek pod Brdy	1	3	721	721	TOP 09	TOP 09	TOP 09	1	721	1920	7.81	1
2110	540765	Mníšek pod Brdy	1	4	405	405	KOALICE NEZÁVISLÝCH MĚSTEČKA POD SKALKOU	KOALICE NEZÁVISLÝCH MĚSTEČKA		2	080,102	3773	14.34	2
2110	540765	Mníšek pod Brdy	1	5	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	865	8.21	0
2110	540765	Mníšek pod Brdy	1	6	144	144	Věci veřejné (VV)	Věci veřejné (VV)	VV	1	144	1380	5.24	1
2110	540765	Mníšek pod Brdy	1	7	166	166	"""STAROSTOVÉ A NEZÁVISLÍ"""	"""STAROSTOVÉ A NEZÁVISLÍ"""	"""STAN"""	1	166	9657	36.7	7
2110	540765	Mníšek pod Brdy	1	8	158	158	"""Sdružení nestraníků"""	"""Sdružení nestraníků"""	SN	1	158	4090	15.54	2
